Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Sort_Filter_ProductCount_Loadmore_Emi,Chrome 77.0.3865.90,This suite is being created just to check the Flow of Execution of Test Cases rather than each time opening the Browser.,,2019-09-21 11:53:26,2019-09-21 11:56:25,2m - 58.930s,INCOMPLETE
,,,,,,,
Test Cases/PLPproductCount,Chrome 77.0.3865.90,"In this Test Case we are verifying if the Product count initially loaded is 30. 
If the user clicks on Load More Functionality than again more 30 products should only be loaded.
Her we are even verifying the total product Count.",,2019-09-21 11:53:36,2019-09-21 11:53:45,9.014s,PASSED
i = 3,Chrome 77.0.3865.90,,,2019-09-21 11:53:36,2019-09-21 11:53:36,0.001s,PASSED
Resources.selectCity(),Chrome 77.0.3865.90,,,2019-09-21 11:53:36,2019-09-21 11:53:36,0.165s,PASSED
Thread.sleep(2000),Chrome 77.0.3865.90,,,2019-09-21 11:53:36,2019-09-21 11:53:38,2.007s,PASSED
Resources.movingToSmartphonesPage(),Chrome 77.0.3865.90,,,2019-09-21 11:53:38,2019-09-21 11:53:41,2.603s,PASSED
Assert.assertFalse(Resources.checkifComparepopuppresent()),Chrome 77.0.3865.90,,,2019-09-21 11:53:41,2019-09-21 11:53:41,0.265s,PASSED
incrementCount = 0,Chrome 77.0.3865.90,,,2019-09-21 11:53:41,2019-09-21 11:53:41,0.001s,PASSED
count = new plp.CountProducts(),Chrome 77.0.3865.90,,,2019-09-21 11:53:41,2019-09-21 11:53:41,0.003s,PASSED
totalProductCount = Resources.getTotalCount(),Chrome 77.0.3865.90,,,2019-09-21 11:53:41,2019-09-21 11:53:41,0.171s,PASSED
"total = Resources.verifyLoadCount(i, totalProductCount, count)",Chrome 77.0.3865.90,,,2019-09-21 11:53:41,2019-09-21 11:53:42,0.588s,PASSED
"Assert.assertEquals(total, totalProductCount)",Chrome 77.0.3865.90,,,2019-09-21 11:53:42,2019-09-21 11:53:42,0.001s,PASSED
Start tear down : tearDownTestCase,Chrome 77.0.3865.90,,,2019-09-21 11:53:42,2019-09-21 11:53:45,3.003s,PASSED
,,,,,,,
Test Cases/SortLowertoHigherCheck,Chrome 77.0.3865.90,"Chceking the two EMI options order.
i.e Low to High 
and High to Low.",,2019-09-21 11:53:45,2019-09-21 11:53:50,4.665s,PASSED
i = 3,Chrome 77.0.3865.90,,,2019-09-21 11:53:45,2019-09-21 11:53:45,0.003s,PASSED
driver = getWebDriver(),Chrome 77.0.3865.90,,,2019-09-21 11:53:45,2019-09-21 11:53:45,0.001s,PASSED
"mouseOver(findTestObject(""Object Repository/PLPpage/PLP_Title""))",Chrome 77.0.3865.90,,,2019-09-21 11:53:45,2019-09-21 11:53:45,0.194s,PASSED
totalProducts = Resources.getTotalCount(),Chrome 77.0.3865.90,,,2019-09-21 11:53:45,2019-09-21 11:53:45,0.068s,PASSED
emiPrice = new java.util.ArrayList(),Chrome 77.0.3865.90,,,2019-09-21 11:53:45,2019-09-21 11:53:45,0.000s,PASSED
"emiPrice.addAll(Resources.getallEMIValues(i, totalProducts))",Chrome 77.0.3865.90,,,2019-09-21 11:53:45,2019-09-21 11:53:47,1.220s,PASSED
println(emiPrice),Chrome 77.0.3865.90,,,2019-09-21 11:53:47,2019-09-21 11:53:47,0.003s,PASSED
"for ([j = 0, j < emiPrice.size() - 1, (j++)])",Chrome 77.0.3865.90,,,2019-09-21 11:53:47,2019-09-21 11:53:47,0.012s,PASSED
Start tear down : tearDownTestCase,Chrome 77.0.3865.90,,,2019-09-21 11:53:47,2019-09-21 11:53:50,3.000s,PASSED
,,,,,,,
Test Cases/SortHighertoLowerCheck,Chrome 77.0.3865.90,This test case is used to check if the sort is working appropriately..if the filter selected is Highr to Lower,,2019-09-21 11:53:50,2019-09-21 11:54:02,12.458s,PASSED
i = 3,Chrome 77.0.3865.90,,,2019-09-21 11:53:50,2019-09-21 11:53:50,0.000s,PASSED
"mouseOver(findTestObject(""Object Repository/PLPpage/PLP_Title""))",Chrome 77.0.3865.90,,,2019-09-21 11:53:50,2019-09-21 11:53:50,0.164s,PASSED
"waitForElementNotPresent(findTestObject(""Object Repository/PLPpage/EMIHightoLow""), 5)",Chrome 77.0.3865.90,,,2019-09-21 11:53:50,2019-09-21 11:53:55,5.400s,PASSED
"click(findTestObject(""Object Repository/PLPpage/EMIHightoLow""))",Chrome 77.0.3865.90,,,2019-09-21 11:53:55,2019-09-21 11:53:55,0.133s,PASSED
Thread.sleep(2000),Chrome 77.0.3865.90,,,2019-09-21 11:53:55,2019-09-21 11:53:57,2.003s,PASSED
count = new plp.CountProducts(),Chrome 77.0.3865.90,,,2019-09-21 11:53:57,2019-09-21 11:53:57,0.002s,PASSED
totalProductCount = Resources.getTotalCount(),Chrome 77.0.3865.90,,,2019-09-21 11:53:57,2019-09-21 11:53:57,0.085s,PASSED
"flag = Resources.verifyLoadCount(i, totalProductCount, count)",Chrome 77.0.3865.90,,,2019-09-21 11:53:57,2019-09-21 11:53:58,0.375s,PASSED
emi = new java.util.ArrayList(),Chrome 77.0.3865.90,,,2019-09-21 11:53:58,2019-09-21 11:53:58,0.001s,PASSED
"emi.addAll(Resources.getallEMIValues(i, Resources.getTotalCount()))",Chrome 77.0.3865.90,,,2019-09-21 11:53:58,2019-09-21 11:53:59,1.172s,PASSED
"for ([j = 0, j < emi.size() - 1, (j++)])",Chrome 77.0.3865.90,,,2019-09-21 11:53:59,2019-09-21 11:53:59,0.007s,PASSED
Start tear down : tearDownTestCase,Chrome 77.0.3865.90,,,2019-09-21 11:53:59,2019-09-21 11:54:02,3.001s,PASSED
,,,,,,,
Test Cases/AddingproductstoCompare,Chrome 77.0.3865.90,Verifying if the nos. of products added to compare are appropriate or not.,,2019-09-21 11:54:02,2019-09-21 11:54:38,36.289s,PASSED
driver = getWebDriver(),Chrome 77.0.3865.90,,,2019-09-21 11:54:02,2019-09-21 11:54:02,0.001s,PASSED
productNames = new java.util.ArrayList(),Chrome 77.0.3865.90,,,2019-09-21 11:54:02,2019-09-21 11:54:02,0.001s,PASSED
"mouseOver(findTestObject(""Object Repository/PLPpage/PLP_Title""))",Chrome 77.0.3865.90,,,2019-09-21 11:54:02,2019-09-21 11:54:02,0.168s,PASSED
flag = false,Chrome 77.0.3865.90,,,2019-09-21 11:54:02,2019-09-21 11:54:02,0.000s,PASSED
"for ([i = 1, i <= nosOfProducts * 2, i += 2])",Chrome 77.0.3865.90,,,2019-09-21 11:54:02,2019-09-21 11:54:12,10.107s,PASSED
namesofProducts = productNames,Chrome 77.0.3865.90,,,2019-09-21 11:54:12,2019-09-21 11:54:12,0.001s,PASSED
Thread.sleep(3000),Chrome 77.0.3865.90,,,2019-09-21 11:54:12,2019-09-21 11:54:15,3.002s,PASSED
"count = callTestCase(findTestCase(""Test Cases/VerifyComparePopUpCount""), null)",Chrome 77.0.3865.90,,,2019-09-21 11:54:15,2019-09-21 11:54:16,0.279s,PASSED
"Assert.assertEquals(Integer.parseInt(count), nosOfProducts)",Chrome 77.0.3865.90,,,2019-09-21 11:54:16,2019-09-21 11:54:16,0.000s,PASSED
"callTestCase(findTestCase(""Test Cases/AddingExtraProductToCompare""), null)",Chrome 77.0.3865.90,,,2019-09-21 11:54:16,2019-09-21 11:54:19,3.299s,PASSED
"waitForElementNotPresent(findTestObject(""Object Repository/CompareFunctionality/ComparePopUp""), 5)",Chrome 77.0.3865.90,,,2019-09-21 11:54:19,2019-09-21 11:54:24,5.231s,PASSED
"click(findTestObject(""Object Repository/CompareFunctionality/ComparePopUp""))",Chrome 77.0.3865.90,,,2019-09-21 11:54:24,2019-09-21 11:54:26,1.484s,PASSED
com = new pom_files.ComparePage(driver),Chrome 77.0.3865.90,,,2019-09-21 11:54:26,2019-09-21 11:54:26,0.003s,PASSED
noofElements = com.compareElementsSize(),Chrome 77.0.3865.90,,,2019-09-21 11:54:26,2019-09-21 11:54:26,0.116s,PASSED
"Assert.assertEquals(noofElements, nosOfProducts)",Chrome 77.0.3865.90,,,2019-09-21 11:54:26,2019-09-21 11:54:26,0.000s,PASSED
"for ([j = 1, j <= nosOfProducts, (j++)])",Chrome 77.0.3865.90,,,2019-09-21 11:54:26,2019-09-21 11:54:35,9.443s,PASSED
Start tear down : tearDownTestCase,Chrome 77.0.3865.90,,,2019-09-21 11:54:35,2019-09-21 11:54:38,3.001s,PASSED
,,,,,,,
Test Cases/CheckifCommonFeaturesareHidden,Chrome 77.0.3865.90,This test case is used to verify if the Hide Common features button is working appropriately or not..,,2019-09-21 11:54:38,2019-09-21 11:54:42,3.297s,PASSED
driver = getWebDriver(),Chrome 77.0.3865.90,,,2019-09-21 11:54:38,2019-09-21 11:54:38,0.001s,PASSED
"click(findTestObject(""Object Repository/CompareFunctionality/HideCommonFeaturesCheckbox""))",Chrome 77.0.3865.90,,,2019-09-21 11:54:38,2019-09-21 11:54:38,0.099s,PASSED
"style = getAttribute(findTestObject(""Object Repository/CompareFunctionality/CommonRows""), ""style"")",Chrome 77.0.3865.90,,,2019-09-21 11:54:38,2019-09-21 11:54:39,0.083s,PASSED
println(style),Chrome 77.0.3865.90,,,2019-09-21 11:54:39,2019-09-21 11:54:39,0.001s,PASSED
flag = true,Chrome 77.0.3865.90,,,2019-09-21 11:54:39,2019-09-21 11:54:39,0.000s,PASSED
"Assert.assertEquals(flag, !(style.isEmpty()))",Chrome 77.0.3865.90,,,2019-09-21 11:54:39,2019-09-21 11:54:39,0.001s,PASSED
Start tear down : tearDownTestCase,Chrome 77.0.3865.90,,,2019-09-21 11:54:39,2019-09-21 11:54:42,3.002s,PASSED
,,,,,,,
Test Cases/RemoveFeatureofCompareProducts,Chrome 77.0.3865.90,Verifying the Remove feature which is associated with  the Compare Functionality,,2019-09-21 11:54:42,2019-09-21 11:54:56,14.435s,PASSED
driver = getWebDriver(),Chrome 77.0.3865.90,,,2019-09-21 11:54:42,2019-09-21 11:54:42,0.000s,PASSED
Thread.sleep(3000),Chrome 77.0.3865.90,,,2019-09-21 11:54:42,2019-09-21 11:54:45,3.000s,PASSED
"click(findTestObject(""Object Repository/CompareFunctionality/i_Get This Product_fa fa-times""))",Chrome 77.0.3865.90,,,2019-09-21 11:54:45,2019-09-21 11:54:45,0.106s,PASSED
Thread.sleep(3000),Chrome 77.0.3865.90,,,2019-09-21 11:54:45,2019-09-21 11:54:48,3.001s,PASSED
"confirmMessage = getText(findTestObject(""Object Repository/CompareFunctionality/CompareWarningpPopup""))",Chrome 77.0.3865.90,,,2019-09-21 11:54:48,2019-09-21 11:54:48,0.091s,PASSED
"click(findTestObject(""Object Repository/CompareFunctionality/span_OK""))",Chrome 77.0.3865.90,,,2019-09-21 11:54:48,2019-09-21 11:54:49,1.529s,PASSED
Assert.assertNotNull(confirmMessage),Chrome 77.0.3865.90,,,2019-09-21 11:54:49,2019-09-21 11:54:49,0.001s,PASSED
(internal.GlobalVariable.nosOfProducts--),Chrome 77.0.3865.90,,,2019-09-21 11:54:49,2019-09-21 11:54:49,0.001s,PASSED
refresh(),Chrome 77.0.3865.90,,,2019-09-21 11:54:49,2019-09-21 11:54:51,1.257s,PASSED
count = Resources.nosOfProductsonComparePage(driver),Chrome 77.0.3865.90,,,2019-09-21 11:54:51,2019-09-21 11:54:51,0.075s,PASSED
"Assert.assertEquals(count, nosOfProducts)",Chrome 77.0.3865.90,,,2019-09-21 11:54:51,2019-09-21 11:54:51,0.001s,PASSED
Resources.movingToSmartphonesPage(),Chrome 77.0.3865.90,,,2019-09-21 11:54:51,2019-09-21 11:54:53,1.784s,PASSED
"productCount = callTestCase(findTestCase(""Test Cases/VerifyComparePopUpCount""), null)",Chrome 77.0.3865.90,,,2019-09-21 11:54:53,2019-09-21 11:54:53,0.466s,PASSED
"Assert.assertEquals(Integer.parseInt(productCount), nosOfProducts)",Chrome 77.0.3865.90,,,2019-09-21 11:54:53,2019-09-21 11:54:53,0.000s,PASSED
Start tear down : tearDownTestCase,Chrome 77.0.3865.90,,,2019-09-21 11:54:53,2019-09-21 11:54:56,3.001s,PASSED
,,,,,,,
Test Cases/VerifyMainCategoryNames,Chrome 77.0.3865.90,Here we are verifying if the Category  Name present in the header pop-up panel and the one present onthe PLP page itself are equal or not.,,2019-09-21 11:54:56,2019-09-21 11:55:55,59.288s,PASSED
"mouseOver(findTestObject(""Object Repository/PLPpage/PLP_Title""))",Chrome 77.0.3865.90,,,2019-09-21 11:54:56,2019-09-21 11:54:56,0.179s,PASSED
categoryNames = new java.util.ArrayList(),Chrome 77.0.3865.90,,,2019-09-21 11:54:56,2019-09-21 11:54:56,0.000s,PASSED
driver = getWebDriver(),Chrome 77.0.3865.90,,,2019-09-21 11:54:56,2019-09-21 11:54:56,0.000s,PASSED
"size = xpath(""//div[@class='a_deskcatagory']/ul/li"")).size()",Chrome 77.0.3865.90,,,2019-09-21 11:54:56,2019-09-21 11:54:56,0.030s,PASSED
"for ([i = 1, i <= size, (i++)])",Chrome 77.0.3865.90,,,2019-09-21 11:54:56,2019-09-21 11:55:52,55.950s,PASSED
Start tear down : tearDownTestCase,Chrome 77.0.3865.90,,,2019-09-21 11:55:52,2019-09-21 11:55:55,3.003s,PASSED
,,,,,,,
Test Cases/AddingProductsfromComparePage,Chrome 77.0.3865.90,This test case is used to verify if the product is getting added from Compare Page itself or not.,,2019-09-21 11:55:55,2019-09-21 11:56:07,11.770s,PASSED
productFirstName = String.valueOf(get(1).charAt(0)),Chrome 77.0.3865.90,,,2019-09-21 11:55:55,2019-09-21 11:55:55,0.002s,PASSED
println(productFirstName),Chrome 77.0.3865.90,,,2019-09-21 11:55:55,2019-09-21 11:55:55,0.001s,PASSED
"setText(findTestObject(""Object Repository/CompareFunctionality/input_Select another product_selectpro""), productFirstName)",Chrome 77.0.3865.90,,,2019-09-21 11:55:55,2019-09-21 11:55:56,0.124s,PASSED
"click(findTestObject(""Object Repository/CompareFunctionality/li_LG G4 32 GB Brown (3 GB RAM)""))",Chrome 77.0.3865.90,,,2019-09-21 11:55:56,2019-09-21 11:55:56,0.636s,PASSED
