Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Sort_Filter_ProductCount_Loadmore_Emi,Chrome 77.0.3865.90,This suite is being created just to check the Flow of Execution of Test Cases rather than each time opening the Browser.,,2019-09-20 19:47:58,2019-09-20 19:50:45,2m - 46.402s,INCOMPLETE
,,,,,,,
Test Cases/PLPproductCount,Chrome 77.0.3865.90,"In this Test Case we are verifying if the Product count initially loaded is 30. 
If the user clicks on Load More Functionality than again more 30 products should only be loaded.
Her we are even verifying the total product Count.",,2019-09-20 19:48:08,2019-09-20 19:48:17,9.657s,PASSED
i = 3,Chrome 77.0.3865.90,,,2019-09-20 19:48:08,2019-09-20 19:48:08,0.002s,PASSED
Resources.selectCity(),Chrome 77.0.3865.90,,,2019-09-20 19:48:08,2019-09-20 19:48:10,2.015s,PASSED
Thread.sleep(2000),Chrome 77.0.3865.90,,,2019-09-20 19:48:10,2019-09-20 19:48:12,2.005s,PASSED
Resources.movingToSmartphonesPage(),Chrome 77.0.3865.90,,,2019-09-20 19:48:12,2019-09-20 19:48:14,1.640s,PASSED
Assert.assertFalse(Resources.checkifComparepopuppresent()),Chrome 77.0.3865.90,,,2019-09-20 19:48:14,2019-09-20 19:48:14,0.210s,PASSED
incrementCount = 0,Chrome 77.0.3865.90,,,2019-09-20 19:48:14,2019-09-20 19:48:14,0.001s,PASSED
count = new plp.CountProducts(),Chrome 77.0.3865.90,,,2019-09-20 19:48:14,2019-09-20 19:48:14,0.004s,PASSED
totalProductCount = Resources.getTotalCount(),Chrome 77.0.3865.90,,,2019-09-20 19:48:14,2019-09-20 19:48:14,0.115s,PASSED
"total = Resources.verifyLoadCount(i, totalProductCount, count)",Chrome 77.0.3865.90,,,2019-09-20 19:48:14,2019-09-20 19:48:14,0.443s,PASSED
"Assert.assertEquals(total, totalProductCount)",Chrome 77.0.3865.90,,,2019-09-20 19:48:14,2019-09-20 19:48:14,0.001s,PASSED
Start tear down : tearDownTestCase,Chrome 77.0.3865.90,,,2019-09-20 19:48:14,2019-09-20 19:48:17,3.004s,PASSED
,,,,,,,
Test Cases/SortLowertoHigherCheck,Chrome 77.0.3865.90,"Chceking the two EMI options order.
i.e Low to High 
and High to Low.",,2019-09-20 19:48:17,2019-09-20 19:48:22,4.530s,PASSED
i = 3,Chrome 77.0.3865.90,,,2019-09-20 19:48:18,2019-09-20 19:48:18,0.002s,PASSED
driver = getWebDriver(),Chrome 77.0.3865.90,,,2019-09-20 19:48:18,2019-09-20 19:48:18,0.000s,PASSED
"mouseOver(findTestObject(""Object Repository/PLPpage/PLP_Title""))",Chrome 77.0.3865.90,,,2019-09-20 19:48:18,2019-09-20 19:48:18,0.190s,PASSED
totalProducts = Resources.getTotalCount(),Chrome 77.0.3865.90,,,2019-09-20 19:48:18,2019-09-20 19:48:18,0.059s,PASSED
emiPrice = new java.util.ArrayList(),Chrome 77.0.3865.90,,,2019-09-20 19:48:18,2019-09-20 19:48:18,0.000s,PASSED
"emiPrice.addAll(Resources.getallEMIValues(i, totalProducts))",Chrome 77.0.3865.90,,,2019-09-20 19:48:18,2019-09-20 19:48:19,1.104s,PASSED
println(emiPrice),Chrome 77.0.3865.90,,,2019-09-20 19:48:19,2019-09-20 19:48:19,0.003s,PASSED
"for ([j = 0, j < emiPrice.size() - 1, (j++)])",Chrome 77.0.3865.90,,,2019-09-20 19:48:19,2019-09-20 19:48:19,0.013s,PASSED
Start tear down : tearDownTestCase,Chrome 77.0.3865.90,,,2019-09-20 19:48:19,2019-09-20 19:48:22,3.002s,PASSED
,,,,,,,
Test Cases/SortHighertoLowerCheck,Chrome 77.0.3865.90,This test case is used to check if the sort is working appropriately..if the filter selected is Highr to Lower,,2019-09-20 19:48:22,2019-09-20 19:48:34,12.333s,PASSED
i = 3,Chrome 77.0.3865.90,,,2019-09-20 19:48:22,2019-09-20 19:48:22,0.000s,PASSED
"mouseOver(findTestObject(""Object Repository/PLPpage/PLP_Title""))",Chrome 77.0.3865.90,,,2019-09-20 19:48:22,2019-09-20 19:48:22,0.178s,PASSED
"waitForElementNotPresent(findTestObject(""Object Repository/PLPpage/EMIHightoLow""), 5)",Chrome 77.0.3865.90,,,2019-09-20 19:48:22,2019-09-20 19:48:28,5.235s,PASSED
"click(findTestObject(""Object Repository/PLPpage/EMIHightoLow""))",Chrome 77.0.3865.90,,,2019-09-20 19:48:28,2019-09-20 19:48:28,0.131s,PASSED
Thread.sleep(2000),Chrome 77.0.3865.90,,,2019-09-20 19:48:28,2019-09-20 19:48:30,2.001s,PASSED
count = new plp.CountProducts(),Chrome 77.0.3865.90,,,2019-09-20 19:48:30,2019-09-20 19:48:30,0.003s,PASSED
totalProductCount = Resources.getTotalCount(),Chrome 77.0.3865.90,,,2019-09-20 19:48:30,2019-09-20 19:48:30,0.090s,PASSED
"flag = Resources.verifyLoadCount(i, totalProductCount, count)",Chrome 77.0.3865.90,,,2019-09-20 19:48:30,2019-09-20 19:48:30,0.368s,PASSED
emi = new java.util.ArrayList(),Chrome 77.0.3865.90,,,2019-09-20 19:48:30,2019-09-20 19:48:30,0.000s,PASSED
"emi.addAll(Resources.getallEMIValues(i, Resources.getTotalCount()))",Chrome 77.0.3865.90,,,2019-09-20 19:48:30,2019-09-20 19:48:31,1.176s,PASSED
"for ([j = 0, j < emi.size() - 1, (j++)])",Chrome 77.0.3865.90,,,2019-09-20 19:48:31,2019-09-20 19:48:31,0.013s,PASSED
Start tear down : tearDownTestCase,Chrome 77.0.3865.90,,,2019-09-20 19:48:31,2019-09-20 19:48:34,3.001s,PASSED
,,,,,,,
Test Cases/AddingproductstoCompare,Chrome 77.0.3865.90,Verifying if the nos. of products added to compare are appropriate or not.,,2019-09-20 19:48:34,2019-09-20 19:49:10,35.663s,PASSED
driver = getWebDriver(),Chrome 77.0.3865.90,,,2019-09-20 19:48:35,2019-09-20 19:48:35,0.000s,PASSED
productNames = new java.util.ArrayList(),Chrome 77.0.3865.90,,,2019-09-20 19:48:35,2019-09-20 19:48:35,0.001s,PASSED
