Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Sort_Filter_ProductCount_Loadmore_Emi,Chrome 77.0.3865.90,This suite is being created just to check the Flow of Execution of Test Cases rather than each time opening the Browser.,,2019-09-20 19:08:36,2019-09-20 19:11:16,2m - 39.821s,INCOMPLETE
,,,,,,,
Test Cases/PLPproductCount,Chrome 77.0.3865.90,"In this Test Case we are verifying if the Product count initially loaded is 30. 
If the user clicks on Load More Functionality than again more 30 products should only be loaded.
Her we are even verifying the total product Count.",,2019-09-20 19:08:48,2019-09-20 19:08:56,8.576s,PASSED
i = 3,Chrome 77.0.3865.90,,,2019-09-20 19:08:48,2019-09-20 19:08:48,0.000s,PASSED
Resources.selectCity(),Chrome 77.0.3865.90,,,2019-09-20 19:08:48,2019-09-20 19:08:48,0.186s,PASSED
Thread.sleep(2000),Chrome 77.0.3865.90,,,2019-09-20 19:08:48,2019-09-20 19:08:50,2.008s,PASSED
Resources.moveToMobiles(),Chrome 77.0.3865.90,,,2019-09-20 19:08:50,2019-09-20 19:08:52,2.177s,PASSED
Assert.assertFalse(Resources.checkifComparepopuppresent()),Chrome 77.0.3865.90,,,2019-09-20 19:08:52,2019-09-20 19:08:53,0.198s,PASSED
incrementCount = 0,Chrome 77.0.3865.90,,,2019-09-20 19:08:53,2019-09-20 19:08:53,0.001s,PASSED
count = new plp.CountProducts(),Chrome 77.0.3865.90,,,2019-09-20 19:08:53,2019-09-20 19:08:53,0.003s,PASSED
totalProductCount = Resources.getTotalCount(),Chrome 77.0.3865.90,,,2019-09-20 19:08:53,2019-09-20 19:08:53,0.120s,PASSED
"total = Resources.verifyLoadCount(i, totalProductCount, count)",Chrome 77.0.3865.90,,,2019-09-20 19:08:53,2019-09-20 19:08:53,0.656s,PASSED
"Assert.assertEquals(total, totalProductCount)",Chrome 77.0.3865.90,,,2019-09-20 19:08:53,2019-09-20 19:08:53,0.002s,PASSED
Start tear down : tearDownTestCase,Chrome 77.0.3865.90,,,2019-09-20 19:08:53,2019-09-20 19:08:56,3.002s,PASSED
,,,,,,,
Test Cases/SortLowertoHigherCheck,Chrome 77.0.3865.90,"Chceking the two EMI options order.
i.e Low to High 
and High to Low.",,2019-09-20 19:08:56,2019-09-20 19:09:02,5.325s,PASSED
i = 3,Chrome 77.0.3865.90,,,2019-09-20 19:08:57,2019-09-20 19:08:57,0.001s,PASSED
driver = getWebDriver(),Chrome 77.0.3865.90,,,2019-09-20 19:08:57,2019-09-20 19:08:57,0.001s,PASSED
"mouseOver(findTestObject(""Object Repository/PLPpage/PLP_Title""))",Chrome 77.0.3865.90,,,2019-09-20 19:08:57,2019-09-20 19:08:57,0.171s,PASSED
totalProducts = Resources.getTotalCount(),Chrome 77.0.3865.90,,,2019-09-20 19:08:57,2019-09-20 19:08:57,0.048s,PASSED
emiPrice = new java.util.ArrayList(),Chrome 77.0.3865.90,,,2019-09-20 19:08:57,2019-09-20 19:08:57,0.000s,PASSED
"emiPrice.addAll(Resources.getallEMIValues(i, totalProducts))",Chrome 77.0.3865.90,,,2019-09-20 19:08:57,2019-09-20 19:08:59,1.927s,PASSED
println(emiPrice),Chrome 77.0.3865.90,,,2019-09-20 19:08:59,2019-09-20 19:08:59,0.002s,PASSED
"for ([j = 0, j < emiPrice.size() - 1, (j++)])",Chrome 77.0.3865.90,,,2019-09-20 19:08:59,2019-09-20 19:08:59,0.016s,PASSED
Start tear down : tearDownTestCase,Chrome 77.0.3865.90,,,2019-09-20 19:08:59,2019-09-20 19:09:02,3.002s,PASSED
,,,,,,,
Test Cases/SortHighertoLowerCheck,Chrome 77.0.3865.90,This test case is used to check if the sort is working appropriately..if the filter selected is Highr to Lower,,2019-09-20 19:09:02,2019-09-20 19:09:15,13.054s,PASSED
i = 3,Chrome 77.0.3865.90,,,2019-09-20 19:09:02,2019-09-20 19:09:02,0.000s,PASSED
"mouseOver(findTestObject(""Object Repository/PLPpage/PLP_Title""))",Chrome 77.0.3865.90,,,2019-09-20 19:09:02,2019-09-20 19:09:02,0.168s,PASSED
