Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Sort_Filter_ProductCount_Loadmore_Emi,Chrome 77.0.3865.90,This suite is being created just to check the Flow of Execution of Test Cases rather than each time opening the Browser.,,2019-09-21 11:49:23,2019-09-21 11:52:22,2m - 58.945s,INCOMPLETE
,,,,,,,
Test Cases/PLPproductCount,Chrome 77.0.3865.90,"In this Test Case we are verifying if the Product count initially loaded is 30. 
If the user clicks on Load More Functionality than again more 30 products should only be loaded.
Her we are even verifying the total product Count.",,2019-09-21 11:49:33,2019-09-21 11:49:42,9.255s,PASSED
i = 3,Chrome 77.0.3865.90,,,2019-09-21 11:49:33,2019-09-21 11:49:33,0.001s,PASSED
Resources.selectCity(),Chrome 77.0.3865.90,,,2019-09-21 11:49:33,2019-09-21 11:49:35,1.743s,PASSED
Thread.sleep(2000),Chrome 77.0.3865.90,,,2019-09-21 11:49:35,2019-09-21 11:49:37,2.004s,PASSED
Resources.movingToSmartphonesPage(),Chrome 77.0.3865.90,,,2019-09-21 11:49:37,2019-09-21 11:49:38,1.589s,PASSED
Assert.assertFalse(Resources.checkifComparepopuppresent()),Chrome 77.0.3865.90,,,2019-09-21 11:49:38,2019-09-21 11:49:39,0.171s,PASSED
incrementCount = 0,Chrome 77.0.3865.90,,,2019-09-21 11:49:39,2019-09-21 11:49:39,0.001s,PASSED
count = new plp.CountProducts(),Chrome 77.0.3865.90,,,2019-09-21 11:49:39,2019-09-21 11:49:39,0.004s,PASSED
totalProductCount = Resources.getTotalCount(),Chrome 77.0.3865.90,,,2019-09-21 11:49:39,2019-09-21 11:49:39,0.118s,PASSED
"total = Resources.verifyLoadCount(i, totalProductCount, count)",Chrome 77.0.3865.90,,,2019-09-21 11:49:39,2019-09-21 11:49:39,0.424s,PASSED
"Assert.assertEquals(total, totalProductCount)",Chrome 77.0.3865.90,,,2019-09-21 11:49:39,2019-09-21 11:49:39,0.001s,PASSED
Start tear down : tearDownTestCase,Chrome 77.0.3865.90,,,2019-09-21 11:49:39,2019-09-21 11:49:42,3.004s,PASSED
,,,,,,,
Test Cases/SortLowertoHigherCheck,Chrome 77.0.3865.90,"Chceking the two EMI options order.
i.e Low to High 
and High to Low.",,2019-09-21 11:49:42,2019-09-21 11:49:47,4.590s,PASSED
i = 3,Chrome 77.0.3865.90,,,2019-09-21 11:49:42,2019-09-21 11:49:42,0.001s,PASSED
driver = getWebDriver(),Chrome 77.0.3865.90,,,2019-09-21 11:49:42,2019-09-21 11:49:42,0.000s,PASSED
"mouseOver(findTestObject(""Object Repository/PLPpage/PLP_Title""))",Chrome 77.0.3865.90,,,2019-09-21 11:49:42,2019-09-21 11:49:43,0.175s,PASSED
totalProducts = Resources.getTotalCount(),Chrome 77.0.3865.90,,,2019-09-21 11:49:43,2019-09-21 11:49:43,0.055s,PASSED
emiPrice = new java.util.ArrayList(),Chrome 77.0.3865.90,,,2019-09-21 11:49:43,2019-09-21 11:49:43,0.001s,PASSED
"emiPrice.addAll(Resources.getallEMIValues(i, totalProducts))",Chrome 77.0.3865.90,,,2019-09-21 11:49:43,2019-09-21 11:49:44,1.182s,PASSED
println(emiPrice),Chrome 77.0.3865.90,,,2019-09-21 11:49:44,2019-09-21 11:49:44,0.002s,PASSED
"for ([j = 0, j < emiPrice.size() - 1, (j++)])",Chrome 77.0.3865.90,,,2019-09-21 11:49:44,2019-09-21 11:49:44,0.007s,PASSED
Start tear down : tearDownTestCase,Chrome 77.0.3865.90,,,2019-09-21 11:49:44,2019-09-21 11:49:47,3.001s,PASSED
,,,,,,,
Test Cases/SortHighertoLowerCheck,Chrome 77.0.3865.90,This test case is used to check if the sort is working appropriately..if the filter selected is Highr to Lower,,2019-09-21 11:49:47,2019-09-21 11:49:59,12.488s,PASSED
i = 3,Chrome 77.0.3865.90,,,2019-09-21 11:49:47,2019-09-21 11:49:47,0.000s,PASSED
"mouseOver(findTestObject(""Object Repository/PLPpage/PLP_Title""))",Chrome 77.0.3865.90,,,2019-09-21 11:49:47,2019-09-21 11:49:47,0.163s,PASSED
"waitForElementNotPresent(findTestObject(""Object Repository/PLPpage/EMIHightoLow""), 5)",Chrome 77.0.3865.90,,,2019-09-21 11:49:47,2019-09-21 11:49:52,5.370s,PASSED
"click(findTestObject(""Object Repository/PLPpage/EMIHightoLow""))",Chrome 77.0.3865.90,,,2019-09-21 11:49:52,2019-09-21 11:49:53,0.119s,PASSED
Thread.sleep(2000),Chrome 77.0.3865.90,,,2019-09-21 11:49:53,2019-09-21 11:49:55,2.002s,PASSED
count = new plp.CountProducts(),Chrome 77.0.3865.90,,,2019-09-21 11:49:55,2019-09-21 11:49:55,0.003s,PASSED
totalProductCount = Resources.getTotalCount(),Chrome 77.0.3865.90,,,2019-09-21 11:49:55,2019-09-21 11:49:55,0.095s,PASSED
"flag = Resources.verifyLoadCount(i, totalProductCount, count)",Chrome 77.0.3865.90,,,2019-09-21 11:49:55,2019-09-21 11:49:55,0.355s,PASSED
emi = new java.util.ArrayList(),Chrome 77.0.3865.90,,,2019-09-21 11:49:55,2019-09-21 11:49:55,0.000s,PASSED
"emi.addAll(Resources.getallEMIValues(i, Resources.getTotalCount()))",Chrome 77.0.3865.90,,,2019-09-21 11:49:55,2019-09-21 11:49:56,1.231s,PASSED
"for ([j = 0, j < emi.size() - 1, (j++)])",Chrome 77.0.3865.90,,,2019-09-21 11:49:56,2019-09-21 11:49:56,0.005s,PASSED
Start tear down : tearDownTestCase,Chrome 77.0.3865.90,,,2019-09-21 11:49:56,2019-09-21 11:49:59,3.001s,PASSED
,,,,,,,
Test Cases/AddingproductstoCompare,Chrome 77.0.3865.90,Verifying if the nos. of products added to compare are appropriate or not.,,2019-09-21 11:49:59,2019-09-21 11:50:35,35.657s,PASSED
driver = getWebDriver(),Chrome 77.0.3865.90,,,2019-09-21 11:49:59,2019-09-21 11:49:59,0.001s,PASSED
productNames = new java.util.ArrayList(),Chrome 77.0.3865.90,,,2019-09-21 11:49:59,2019-09-21 11:49:59,0.000s,PASSED
"mouseOver(findTestObject(""Object Repository/PLPpage/PLP_Title""))",Chrome 77.0.3865.90,,,2019-09-21 11:49:59,2019-09-21 11:50:00,0.169s,PASSED
flag = false,Chrome 77.0.3865.90,,,2019-09-21 11:50:00,2019-09-21 11:50:00,0.000s,PASSED
"for ([i = 1, i <= nosOfProducts * 2, i += 2])",Chrome 77.0.3865.90,,,2019-09-21 11:50:00,2019-09-21 11:50:10,10.116s,PASSED
namesofProducts = productNames,Chrome 77.0.3865.90,,,2019-09-21 11:50:10,2019-09-21 11:50:10,0.001s,PASSED
Thread.sleep(3000),Chrome 77.0.3865.90,,,2019-09-21 11:50:10,2019-09-21 11:50:13,3.001s,PASSED
"count = callTestCase(findTestCase(""Test Cases/VerifyComparePopUpCount""), null)",Chrome 77.0.3865.90,,,2019-09-21 11:50:13,2019-09-21 11:50:13,0.298s,PASSED
"Assert.assertEquals(Integer.parseInt(count), nosOfProducts)",Chrome 77.0.3865.90,,,2019-09-21 11:50:13,2019-09-21 11:50:13,0.000s,PASSED
"callTestCase(findTestCase(""Test Cases/AddingExtraProductToCompare""), null)",Chrome 77.0.3865.90,,,2019-09-21 11:50:13,2019-09-21 11:50:16,3.357s,PASSED
"waitForElementNotPresent(findTestObject(""Object Repository/CompareFunctionality/ComparePopUp""), 5)",Chrome 77.0.3865.90,,,2019-09-21 11:50:16,2019-09-21 11:50:22,5.369s,PASSED
"click(findTestObject(""Object Repository/CompareFunctionality/ComparePopUp""))",Chrome 77.0.3865.90,,,2019-09-21 11:50:22,2019-09-21 11:50:23,1.363s,PASSED
com = new pom_files.ComparePage(driver),Chrome 77.0.3865.90,,,2019-09-21 11:50:23,2019-09-21 11:50:23,0.003s,PASSED
noofElements = com.compareElementsSize(),Chrome 77.0.3865.90,,,2019-09-21 11:50:23,2019-09-21 11:50:23,0.163s,PASSED
"Assert.assertEquals(noofElements, nosOfProducts)",Chrome 77.0.3865.90,,,2019-09-21 11:50:23,2019-09-21 11:50:23,0.001s,PASSED
"for ([j = 1, j <= nosOfProducts, (j++)])",Chrome 77.0.3865.90,,,2019-09-21 11:50:23,2019-09-21 11:50:32,8.690s,PASSED
Start tear down : tearDownTestCase,Chrome 77.0.3865.90,,,2019-09-21 11:50:32,2019-09-21 11:50:35,3.002s,PASSED
,,,,,,,
Test Cases/CheckifCommonFeaturesareHidden,Chrome 77.0.3865.90,This test case is used to verify if the Hide Common features button is working appropriately or not..,,2019-09-21 11:50:35,2019-09-21 11:50:38,3.310s,PASSED
driver = getWebDriver(),Chrome 77.0.3865.90,,,2019-09-21 11:50:35,2019-09-21 11:50:35,0.000s,PASSED
"click(findTestObject(""Object Repository/CompareFunctionality/HideCommonFeaturesCheckbox""))",Chrome 77.0.3865.90,,,2019-09-21 11:50:35,2019-09-21 11:50:35,0.089s,PASSED
"style = getAttribute(findTestObject(""Object Repository/CompareFunctionality/CommonRows""), ""style"")",Chrome 77.0.3865.90,,,2019-09-21 11:50:35,2019-09-21 11:50:35,0.074s,PASSED
println(style),Chrome 77.0.3865.90,,,2019-09-21 11:50:35,2019-09-21 11:50:35,0.000s,PASSED
flag = true,Chrome 77.0.3865.90,,,2019-09-21 11:50:35,2019-09-21 11:50:35,0.000s,PASSED
"Assert.assertEquals(flag, !(style.isEmpty()))",Chrome 77.0.3865.90,,,2019-09-21 11:50:35,2019-09-21 11:50:35,0.001s,PASSED
Start tear down : tearDownTestCase,Chrome 77.0.3865.90,,,2019-09-21 11:50:35,2019-09-21 11:50:38,3.003s,PASSED
,,,,,,,
Test Cases/RemoveFeatureofCompareProducts,Chrome 77.0.3865.90,Verifying the Remove feature which is associated with  the Compare Functionality,,2019-09-21 11:50:38,2019-09-21 11:50:52,14.044s,PASSED
driver = getWebDriver(),Chrome 77.0.3865.90,,,2019-09-21 11:50:38,2019-09-21 11:50:38,0.000s,PASSED
Thread.sleep(3000),Chrome 77.0.3865.90,,,2019-09-21 11:50:38,2019-09-21 11:50:41,3.002s,PASSED
"click(findTestObject(""Object Repository/CompareFunctionality/i_Get This Product_fa fa-times""))",Chrome 77.0.3865.90,,,2019-09-21 11:50:41,2019-09-21 11:50:42,0.130s,PASSED
Thread.sleep(3000),Chrome 77.0.3865.90,,,2019-09-21 11:50:42,2019-09-21 11:50:45,3.001s,PASSED
"confirmMessage = getText(findTestObject(""Object Repository/CompareFunctionality/CompareWarningpPopup""))",Chrome 77.0.3865.90,,,2019-09-21 11:50:45,2019-09-21 11:50:45,0.086s,PASSED
