Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Sort_Filter_ProductCount_Loadmore_Emi,Chrome 77.0.3865.90,This suite is being created just to check the Flow of Execution of Test Cases rather than each time opening the Browser.,,2019-09-21 13:56:54,2019-09-21 14:00:35,3m - 41.318s,INCOMPLETE
,,,,,,,
Test Cases/PLPproductCount,Chrome 77.0.3865.90,"In this Test Case we are verifying if the Product count initially loaded is 30. 
If the user clicks on Load More Functionality than again more 30 products should only be loaded.
Her we are even verifying the total product Count.",,2019-09-21 13:57:05,2019-09-21 13:57:14,9.903s,PASSED
i = 3,Chrome 77.0.3865.90,,,2019-09-21 13:57:05,2019-09-21 13:57:05,0.000s,PASSED
Resources.selectCity(),Chrome 77.0.3865.90,,,2019-09-21 13:57:05,2019-09-21 13:57:05,0.235s,PASSED
Thread.sleep(2000),Chrome 77.0.3865.90,,,2019-09-21 13:57:05,2019-09-21 13:57:07,2.005s,PASSED
Resources.movingToSmartphonesPage(),Chrome 77.0.3865.90,,,2019-09-21 13:57:07,2019-09-21 13:57:09,1.810s,PASSED
Assert.assertFalse(Resources.checkifComparepopuppresent()),Chrome 77.0.3865.90,,,2019-09-21 13:57:09,2019-09-21 13:57:09,0.235s,PASSED
incrementCount = 0,Chrome 77.0.3865.90,,,2019-09-21 13:57:09,2019-09-21 13:57:09,0.000s,PASSED
count = new plp.CountProducts(),Chrome 77.0.3865.90,,,2019-09-21 13:57:09,2019-09-21 13:57:09,0.003s,PASSED
totalProductCount = Resources.getTotalCount(),Chrome 77.0.3865.90,,,2019-09-21 13:57:09,2019-09-21 13:57:09,0.136s,PASSED
"total = Resources.verifyLoadCount(i, totalProductCount, count)",Chrome 77.0.3865.90,,,2019-09-21 13:57:09,2019-09-21 13:57:11,2.223s,PASSED
"Assert.assertEquals(total, totalProductCount)",Chrome 77.0.3865.90,,,2019-09-21 13:57:11,2019-09-21 13:57:11,0.001s,PASSED
Start tear down : tearDownTestCase,Chrome 77.0.3865.90,,,2019-09-21 13:57:11,2019-09-21 13:57:14,3.002s,PASSED
,,,,,,,
