Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Sort_Filter_ProductCount_Loadmore_Emi,Chrome 77.0.3865.90,This suite is being created just to check the Flow of Execution of Test Cases rather than each time opening the Browser.,,2019-09-20 13:43:46,2019-09-20 14:00:16,16m - 30.565s,INCOMPLETE
,,,,,,,
Test Cases/PLPproductCount,Chrome 77.0.3865.90,"In this Test Case we are verifying if the Product count initially loaded is 30. 
If the user clicks on Load More Functionality than again more 30 products should only be loaded.
Her we are even verifying the total product Count.",,2019-09-20 13:43:58,2019-09-20 13:48:32,4m - 33.483s,PASSED
i = 3,Chrome 77.0.3865.90,,,2019-09-20 13:43:58,2019-09-20 13:43:58,0.001s,PASSED
Resources.selectCity(),Chrome 77.0.3865.90,,,2019-09-20 13:43:58,2019-09-20 13:44:03,4.612s,PASSED
Thread.sleep(2000),Chrome 77.0.3865.90,,,2019-09-20 13:44:03,2019-09-20 13:44:05,2.005s,PASSED
Resources.moveToMobiles(),Chrome 77.0.3865.90,,,2019-09-20 13:44:05,2019-09-20 13:44:12,6.599s,PASSED
Assert.assertFalse(Resources.checkifComparepopuppresent()),Chrome 77.0.3865.90,,,2019-09-20 13:44:12,2019-09-20 13:44:12,0.276s,PASSED
incrementCount = 0,Chrome 77.0.3865.90,,,2019-09-20 13:44:12,2019-09-20 13:44:12,0.001s,PASSED
count = new plp.CountProducts(),Chrome 77.0.3865.90,,,2019-09-20 13:44:12,2019-09-20 13:44:12,0.003s,PASSED
totalProductCount = Resources.getTotalCount(),Chrome 77.0.3865.90,,,2019-09-20 13:44:12,2019-09-20 13:44:12,0.126s,PASSED
"total = Resources.verifyLoadCount(i, totalProductCount, count)",Chrome 77.0.3865.90,,,2019-09-20 13:44:12,2019-09-20 13:48:29,4m - 16.636s,PASSED
"Assert.assertEquals(total, totalProductCount)",Chrome 77.0.3865.90,,,2019-09-20 13:48:29,2019-09-20 13:48:29,0.001s,PASSED
Start tear down : tearDownTestCase,Chrome 77.0.3865.90,,,2019-09-20 13:48:29,2019-09-20 13:48:32,3.002s,PASSED
,,,,,,,
Test Cases/SortLowertoHigherCheck,Chrome 77.0.3865.90,"Chceking the two EMI options order.
i.e Low to High 
and High to Low.",,2019-09-20 13:48:32,2019-09-20 13:51:00,2m - 28.439s,PASSED
i = 3,Chrome 77.0.3865.90,,,2019-09-20 13:48:32,2019-09-20 13:48:32,0.001s,PASSED
driver = getWebDriver(),Chrome 77.0.3865.90,,,2019-09-20 13:48:32,2019-09-20 13:48:32,0.000s,PASSED
"mouseOver(findTestObject(""Object Repository/PLPpage/PLP_Title""))",Chrome 77.0.3865.90,,,2019-09-20 13:48:32,2019-09-20 13:48:32,0.226s,PASSED
totalProducts = Resources.getTotalCount(),Chrome 77.0.3865.90,,,2019-09-20 13:48:32,2019-09-20 13:48:32,0.129s,PASSED
