Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Sort_Filter_ProductCount_Loadmore_Emi,Chrome 77.0.3865.90,This suite is being created just to check the Flow of Execution of Test Cases rather than each time opening the Browser.,,2019-09-20 19:44:18,2019-09-20 19:47:05,2m - 46.953s,INCOMPLETE
,,,,,,,
Test Cases/PLPproductCount,Chrome 77.0.3865.90,"In this Test Case we are verifying if the Product count initially loaded is 30. 
If the user clicks on Load More Functionality than again more 30 products should only be loaded.
Her we are even verifying the total product Count.",,2019-09-20 19:44:29,2019-09-20 19:44:37,8.459s,PASSED
i = 3,Chrome 77.0.3865.90,,,2019-09-20 19:44:29,2019-09-20 19:44:29,0.003s,PASSED
Resources.selectCity(),Chrome 77.0.3865.90,,,2019-09-20 19:44:29,2019-09-20 19:44:29,0.480s,PASSED
Thread.sleep(2000),Chrome 77.0.3865.90,,,2019-09-20 19:44:29,2019-09-20 19:44:31,2.006s,PASSED
Resources.movingToSmartphonesPage(),Chrome 77.0.3865.90,,,2019-09-20 19:44:31,2019-09-20 19:44:33,1.837s,PASSED
Assert.assertFalse(Resources.checkifComparepopuppresent()),Chrome 77.0.3865.90,,,2019-09-20 19:44:33,2019-09-20 19:44:33,0.194s,PASSED
incrementCount = 0,Chrome 77.0.3865.90,,,2019-09-20 19:44:33,2019-09-20 19:44:33,0.000s,PASSED
count = new plp.CountProducts(),Chrome 77.0.3865.90,,,2019-09-20 19:44:33,2019-09-20 19:44:33,0.003s,PASSED
totalProductCount = Resources.getTotalCount(),Chrome 77.0.3865.90,,,2019-09-20 19:44:33,2019-09-20 19:44:34,0.123s,PASSED
"total = Resources.verifyLoadCount(i, totalProductCount, count)",Chrome 77.0.3865.90,,,2019-09-20 19:44:34,2019-09-20 19:44:34,0.508s,PASSED
"Assert.assertEquals(total, totalProductCount)",Chrome 77.0.3865.90,,,2019-09-20 19:44:34,2019-09-20 19:44:34,0.000s,PASSED
Start tear down : tearDownTestCase,Chrome 77.0.3865.90,,,2019-09-20 19:44:34,2019-09-20 19:44:37,3.004s,PASSED
,,,,,,,
Test Cases/SortLowertoHigherCheck,Chrome 77.0.3865.90,"Chceking the two EMI options order.
i.e Low to High 
and High to Low.",,2019-09-20 19:44:37,2019-09-20 19:44:43,5.827s,PASSED
i = 3,Chrome 77.0.3865.90,,,2019-09-20 19:44:37,2019-09-20 19:44:37,0.001s,PASSED
driver = getWebDriver(),Chrome 77.0.3865.90,,,2019-09-20 19:44:37,2019-09-20 19:44:37,0.001s,PASSED
"mouseOver(findTestObject(""Object Repository/PLPpage/PLP_Title""))",Chrome 77.0.3865.90,,,2019-09-20 19:44:37,2019-09-20 19:44:37,0.187s,PASSED
totalProducts = Resources.getTotalCount(),Chrome 77.0.3865.90,,,2019-09-20 19:44:37,2019-09-20 19:44:39,1.401s,PASSED
emiPrice = new java.util.ArrayList(),Chrome 77.0.3865.90,,,2019-09-20 19:44:39,2019-09-20 19:44:39,0.001s,PASSED
"emiPrice.addAll(Resources.getallEMIValues(i, totalProducts))",Chrome 77.0.3865.90,,,2019-09-20 19:44:39,2019-09-20 19:44:40,1.085s,PASSED
println(emiPrice),Chrome 77.0.3865.90,,,2019-09-20 19:44:40,2019-09-20 19:44:40,0.002s,PASSED
"for ([j = 0, j < emiPrice.size() - 1, (j++)])",Chrome 77.0.3865.90,,,2019-09-20 19:44:40,2019-09-20 19:44:40,0.008s,PASSED
Start tear down : tearDownTestCase,Chrome 77.0.3865.90,,,2019-09-20 19:44:40,2019-09-20 19:44:43,3.001s,PASSED
,,,,,,,
Test Cases/SortHighertoLowerCheck,Chrome 77.0.3865.90,This test case is used to check if the sort is working appropriately..if the filter selected is Highr to Lower,,2019-09-20 19:44:43,2019-09-20 19:44:55,12.545s,PASSED
i = 3,Chrome 77.0.3865.90,,,2019-09-20 19:44:43,2019-09-20 19:44:43,0.001s,PASSED
"mouseOver(findTestObject(""Object Repository/PLPpage/PLP_Title""))",Chrome 77.0.3865.90,,,2019-09-20 19:44:43,2019-09-20 19:44:43,0.183s,PASSED
"waitForElementNotPresent(findTestObject(""Object Repository/PLPpage/EMIHightoLow""), 5)",Chrome 77.0.3865.90,,,2019-09-20 19:44:43,2019-09-20 19:44:48,5.279s,PASSED
"click(findTestObject(""Object Repository/PLPpage/EMIHightoLow""))",Chrome 77.0.3865.90,,,2019-09-20 19:44:48,2019-09-20 19:44:49,0.129s,PASSED
Thread.sleep(2000),Chrome 77.0.3865.90,,,2019-09-20 19:44:49,2019-09-20 19:44:51,2.000s,PASSED
count = new plp.CountProducts(),Chrome 77.0.3865.90,,,2019-09-20 19:44:51,2019-09-20 19:44:51,0.001s,PASSED
totalProductCount = Resources.getTotalCount(),Chrome 77.0.3865.90,,,2019-09-20 19:44:51,2019-09-20 19:44:51,0.068s,PASSED
"flag = Resources.verifyLoadCount(i, totalProductCount, count)",Chrome 77.0.3865.90,,,2019-09-20 19:44:51,2019-09-20 19:44:51,0.529s,PASSED
