Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Sort_Filter_ProductCount_Loadmore_Emi,Chrome 77.0.3865.90,This suite is being created just to check the Flow of Execution of Test Cases rather than each time opening the Browser.,,2019-09-21 11:45:30,2019-09-21 11:48:24,2m - 53.978s,INCOMPLETE
,,,,,,,
Test Cases/PLPproductCount,Chrome 77.0.3865.90,"In this Test Case we are verifying if the Product count initially loaded is 30. 
If the user clicks on Load More Functionality than again more 30 products should only be loaded.
Her we are even verifying the total product Count.",,2019-09-21 11:45:40,2019-09-21 11:45:48,8.024s,PASSED
i = 3,Chrome 77.0.3865.90,,,2019-09-21 11:45:41,2019-09-21 11:45:41,0.000s,PASSED
Resources.selectCity(),Chrome 77.0.3865.90,,,2019-09-21 11:45:41,2019-09-21 11:45:41,0.167s,PASSED
Thread.sleep(2000),Chrome 77.0.3865.90,,,2019-09-21 11:45:41,2019-09-21 11:45:43,2.006s,PASSED
Resources.movingToSmartphonesPage(),Chrome 77.0.3865.90,,,2019-09-21 11:45:43,2019-09-21 11:45:45,1.770s,PASSED
Assert.assertFalse(Resources.checkifComparepopuppresent()),Chrome 77.0.3865.90,,,2019-09-21 11:45:45,2019-09-21 11:45:45,0.178s,PASSED
incrementCount = 0,Chrome 77.0.3865.90,,,2019-09-21 11:45:45,2019-09-21 11:45:45,0.000s,PASSED
count = new plp.CountProducts(),Chrome 77.0.3865.90,,,2019-09-21 11:45:45,2019-09-21 11:45:45,0.003s,PASSED
totalProductCount = Resources.getTotalCount(),Chrome 77.0.3865.90,,,2019-09-21 11:45:45,2019-09-21 11:45:45,0.184s,PASSED
"total = Resources.verifyLoadCount(i, totalProductCount, count)",Chrome 77.0.3865.90,,,2019-09-21 11:45:45,2019-09-21 11:45:45,0.483s,PASSED
"Assert.assertEquals(total, totalProductCount)",Chrome 77.0.3865.90,,,2019-09-21 11:45:45,2019-09-21 11:45:45,0.001s,PASSED
Start tear down : tearDownTestCase,Chrome 77.0.3865.90,,,2019-09-21 11:45:45,2019-09-21 11:45:48,3.001s,PASSED
,,,,,,,
Test Cases/SortLowertoHigherCheck,Chrome 77.0.3865.90,"Chceking the two EMI options order.
i.e Low to High 
and High to Low.",,2019-09-21 11:45:48,2019-09-21 11:45:53,4.557s,PASSED
i = 3,Chrome 77.0.3865.90,,,2019-09-21 11:45:49,2019-09-21 11:45:49,0.001s,PASSED
driver = getWebDriver(),Chrome 77.0.3865.90,,,2019-09-21 11:45:49,2019-09-21 11:45:49,0.001s,PASSED
"mouseOver(findTestObject(""Object Repository/PLPpage/PLP_Title""))",Chrome 77.0.3865.90,,,2019-09-21 11:45:49,2019-09-21 11:45:49,0.178s,PASSED
totalProducts = Resources.getTotalCount(),Chrome 77.0.3865.90,,,2019-09-21 11:45:49,2019-09-21 11:45:49,0.062s,PASSED
emiPrice = new java.util.ArrayList(),Chrome 77.0.3865.90,,,2019-09-21 11:45:49,2019-09-21 11:45:49,0.000s,PASSED
"emiPrice.addAll(Resources.getallEMIValues(i, totalProducts))",Chrome 77.0.3865.90,,,2019-09-21 11:45:49,2019-09-21 11:45:50,1.167s,PASSED
println(emiPrice),Chrome 77.0.3865.90,,,2019-09-21 11:45:50,2019-09-21 11:45:50,0.003s,PASSED
