Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Sort_Filter_ProductCount_Loadmore_Emi,Chrome 77.0.3865.90,This suite is being created just to check the Flow of Execution of Test Cases rather than each time opening the Browser.,,2019-09-21 14:04:04,2019-09-21 14:07:44,3m - 40.199s,INCOMPLETE
,,,,,,,
Test Cases/PLPproductCount,Chrome 77.0.3865.90,"In this Test Case we are verifying if the Product count initially loaded is 30. 
If the user clicks on Load More Functionality than again more 30 products should only be loaded.
Her we are even verifying the total product Count.",,2019-09-21 14:04:13,2019-09-21 14:04:21,8.190s,PASSED
i = 3,Chrome 77.0.3865.90,,,2019-09-21 14:04:13,2019-09-21 14:04:13,0.001s,PASSED
Resources.selectCity(),Chrome 77.0.3865.90,,,2019-09-21 14:04:13,2019-09-21 14:04:14,0.345s,PASSED
Thread.sleep(2000),Chrome 77.0.3865.90,,,2019-09-21 14:04:14,2019-09-21 14:04:16,2.005s,PASSED
Resources.movingToSmartphonesPage(),Chrome 77.0.3865.90,,,2019-09-21 14:04:16,2019-09-21 14:04:18,1.839s,PASSED
Assert.assertFalse(Resources.checkifComparepopuppresent()),Chrome 77.0.3865.90,,,2019-09-21 14:04:18,2019-09-21 14:04:18,0.168s,PASSED
incrementCount = 0,Chrome 77.0.3865.90,,,2019-09-21 14:04:18,2019-09-21 14:04:18,0.001s,PASSED
count = new plp.CountProducts(),Chrome 77.0.3865.90,,,2019-09-21 14:04:18,2019-09-21 14:04:18,0.003s,PASSED
totalProductCount = Resources.getTotalCount(),Chrome 77.0.3865.90,,,2019-09-21 14:04:18,2019-09-21 14:04:18,0.103s,PASSED
"total = Resources.verifyLoadCount(i, totalProductCount, count)",Chrome 77.0.3865.90,,,2019-09-21 14:04:18,2019-09-21 14:04:18,0.509s,PASSED
"Assert.assertEquals(total, totalProductCount)",Chrome 77.0.3865.90,,,2019-09-21 14:04:18,2019-09-21 14:04:18,0.001s,PASSED
Start tear down : tearDownTestCase,Chrome 77.0.3865.90,,,2019-09-21 14:04:18,2019-09-21 14:04:21,3.002s,PASSED
,,,,,,,
Test Cases/SortLowertoHigherCheck,Chrome 77.0.3865.90,"Chceking the two EMI options order.
i.e Low to High 
and High to Low.",,2019-09-21 14:04:21,2019-09-21 14:04:26,4.519s,PASSED
i = 3,Chrome 77.0.3865.90,,,2019-09-21 14:04:22,2019-09-21 14:04:22,0.001s,PASSED
driver = getWebDriver(),Chrome 77.0.3865.90,,,2019-09-21 14:04:22,2019-09-21 14:04:22,0.001s,PASSED
"mouseOver(findTestObject(""Object Repository/PLPpage/PLP_Title""))",Chrome 77.0.3865.90,,,2019-09-21 14:04:22,2019-09-21 14:04:22,0.185s,PASSED
