Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Sort_Filter_ProductCount_Loadmore_Emi,Chrome 77.0.3865.90,This suite is being created just to check the Flow of Execution of Test Cases rather than each time opening the Browser.,,2019-09-21 12:27:28,2019-09-21 12:31:06,3m - 38.173s,INCOMPLETE
,,,,,,,
Test Cases/PLPproductCount,Chrome 77.0.3865.90,"In this Test Case we are verifying if the Product count initially loaded is 30. 
If the user clicks on Load More Functionality than again more 30 products should only be loaded.
Her we are even verifying the total product Count.",,2019-09-21 12:27:38,2019-09-21 12:27:46,7.928s,PASSED
i = 3,Chrome 77.0.3865.90,,,2019-09-21 12:27:38,2019-09-21 12:27:38,0.000s,PASSED
Resources.selectCity(),Chrome 77.0.3865.90,,,2019-09-21 12:27:38,2019-09-21 12:27:38,0.243s,PASSED
Thread.sleep(2000),Chrome 77.0.3865.90,,,2019-09-21 12:27:38,2019-09-21 12:27:40,2.004s,PASSED
Resources.movingToSmartphonesPage(),Chrome 77.0.3865.90,,,2019-09-21 12:27:40,2019-09-21 12:27:42,1.574s,PASSED
Assert.assertFalse(Resources.checkifComparepopuppresent()),Chrome 77.0.3865.90,,,2019-09-21 12:27:42,2019-09-21 12:27:42,0.208s,PASSED
incrementCount = 0,Chrome 77.0.3865.90,,,2019-09-21 12:27:42,2019-09-21 12:27:42,0.001s,PASSED
count = new plp.CountProducts(),Chrome 77.0.3865.90,,,2019-09-21 12:27:42,2019-09-21 12:27:42,0.004s,PASSED
totalProductCount = Resources.getTotalCount(),Chrome 77.0.3865.90,,,2019-09-21 12:27:42,2019-09-21 12:27:42,0.113s,PASSED
"total = Resources.verifyLoadCount(i, totalProductCount, count)",Chrome 77.0.3865.90,,,2019-09-21 12:27:42,2019-09-21 12:27:43,0.529s,PASSED
"Assert.assertEquals(total, totalProductCount)",Chrome 77.0.3865.90,,,2019-09-21 12:27:43,2019-09-21 12:27:43,0.001s,PASSED
Start tear down : tearDownTestCase,Chrome 77.0.3865.90,,,2019-09-21 12:27:43,2019-09-21 12:27:46,3.003s,PASSED
,,,,,,,
Test Cases/SortLowertoHigherCheck,Chrome 77.0.3865.90,"Chceking the two EMI options order.
i.e Low to High 
and High to Low.",,2019-09-21 12:27:46,2019-09-21 12:27:50,4.649s,PASSED
i = 3,Chrome 77.0.3865.90,,,2019-09-21 12:27:46,2019-09-21 12:27:46,0.000s,PASSED
driver = getWebDriver(),Chrome 77.0.3865.90,,,2019-09-21 12:27:46,2019-09-21 12:27:46,0.000s,PASSED
"mouseOver(findTestObject(""Object Repository/PLPpage/PLP_Title""))",Chrome 77.0.3865.90,,,2019-09-21 12:27:46,2019-09-21 12:27:46,0.232s,PASSED
totalProducts = Resources.getTotalCount(),Chrome 77.0.3865.90,,,2019-09-21 12:27:46,2019-09-21 12:27:46,0.058s,PASSED
emiPrice = new java.util.ArrayList(),Chrome 77.0.3865.90,,,2019-09-21 12:27:46,2019-09-21 12:27:46,0.000s,PASSED
"emiPrice.addAll(Resources.getallEMIValues(i, totalProducts))",Chrome 77.0.3865.90,,,2019-09-21 12:27:46,2019-09-21 12:27:47,1.181s,PASSED
println(emiPrice),Chrome 77.0.3865.90,,,2019-09-21 12:27:47,2019-09-21 12:27:47,0.005s,PASSED
"for ([j = 0, j < emiPrice.size() - 1, (j++)])",Chrome 77.0.3865.90,,,2019-09-21 12:27:47,2019-09-21 12:27:47,0.019s,PASSED
Start tear down : tearDownTestCase,Chrome 77.0.3865.90,,,2019-09-21 12:27:47,2019-09-21 12:27:50,3.002s,PASSED
,,,,,,,
Test Cases/SortHighertoLowerCheck,Chrome 77.0.3865.90,This test case is used to check if the sort is working appropriately..if the filter selected is Highr to Lower,,2019-09-21 12:27:50,2019-09-21 12:28:03,12.517s,PASSED
i = 3,Chrome 77.0.3865.90,,,2019-09-21 12:27:51,2019-09-21 12:27:51,0.001s,PASSED
"mouseOver(findTestObject(""Object Repository/PLPpage/PLP_Title""))",Chrome 77.0.3865.90,,,2019-09-21 12:27:51,2019-09-21 12:27:51,0.173s,PASSED
"waitForElementNotPresent(findTestObject(""Object Repository/PLPpage/EMIHightoLow""), 5)",Chrome 77.0.3865.90,,,2019-09-21 12:27:51,2019-09-21 12:27:56,5.383s,PASSED
"click(findTestObject(""Object Repository/PLPpage/EMIHightoLow""))",Chrome 77.0.3865.90,,,2019-09-21 12:27:56,2019-09-21 12:27:56,0.134s,PASSED
Thread.sleep(2000),Chrome 77.0.3865.90,,,2019-09-21 12:27:56,2019-09-21 12:27:58,2.002s,PASSED
count = new plp.CountProducts(),Chrome 77.0.3865.90,,,2019-09-21 12:27:58,2019-09-21 12:27:58,0.003s,PASSED
totalProductCount = Resources.getTotalCount(),Chrome 77.0.3865.90,,,2019-09-21 12:27:58,2019-09-21 12:27:58,0.082s,PASSED
"flag = Resources.verifyLoadCount(i, totalProductCount, count)",Chrome 77.0.3865.90,,,2019-09-21 12:27:58,2019-09-21 12:27:59,0.407s,PASSED
emi = new java.util.ArrayList(),Chrome 77.0.3865.90,,,2019-09-21 12:27:59,2019-09-21 12:27:59,0.001s,PASSED
"emi.addAll(Resources.getallEMIValues(i, Resources.getTotalCount()))",Chrome 77.0.3865.90,,,2019-09-21 12:27:59,2019-09-21 12:28:00,1.180s,PASSED
"for ([j = 0, j < emi.size() - 1, (j++)])",Chrome 77.0.3865.90,,,2019-09-21 12:28:00,2019-09-21 12:28:00,0.012s,PASSED
Start tear down : tearDownTestCase,Chrome 77.0.3865.90,,,2019-09-21 12:28:00,2019-09-21 12:28:03,3.002s,PASSED
,,,,,,,
Test Cases/AddingproductstoCompare,Chrome 77.0.3865.90,Verifying if the nos. of products added to compare are appropriate or not.,,2019-09-21 12:28:03,2019-09-21 12:28:39,36.289s,PASSED
driver = getWebDriver(),Chrome 77.0.3865.90,,,2019-09-21 12:28:03,2019-09-21 12:28:03,0.001s,PASSED
productNames = new java.util.ArrayList(),Chrome 77.0.3865.90,,,2019-09-21 12:28:03,2019-09-21 12:28:03,0.000s,PASSED
"mouseOver(findTestObject(""Object Repository/PLPpage/PLP_Title""))",Chrome 77.0.3865.90,,,2019-09-21 12:28:03,2019-09-21 12:28:03,0.166s,PASSED
flag = false,Chrome 77.0.3865.90,,,2019-09-21 12:28:03,2019-09-21 12:28:03,0.000s,PASSED
"for ([i = 1, i <= nosOfProducts * 2, i += 2])",Chrome 77.0.3865.90,,,2019-09-21 12:28:03,2019-09-21 12:28:13,10.073s,PASSED
namesofProducts = productNames,Chrome 77.0.3865.90,,,2019-09-21 12:28:13,2019-09-21 12:28:13,0.001s,PASSED
Thread.sleep(3000),Chrome 77.0.3865.90,,,2019-09-21 12:28:13,2019-09-21 12:28:16,3.001s,PASSED
"count = callTestCase(findTestCase(""Test Cases/VerifyComparePopUpCount""), null)",Chrome 77.0.3865.90,,,2019-09-21 12:28:16,2019-09-21 12:28:17,0.303s,PASSED
"Assert.assertEquals(Integer.parseInt(count), nosOfProducts)",Chrome 77.0.3865.90,,,2019-09-21 12:28:17,2019-09-21 12:28:17,0.001s,PASSED
"callTestCase(findTestCase(""Test Cases/AddingExtraProductToCompare""), null)",Chrome 77.0.3865.90,,,2019-09-21 12:28:17,2019-09-21 12:28:20,3.374s,PASSED
"waitForElementNotPresent(findTestObject(""Object Repository/CompareFunctionality/ComparePopUp""), 5)",Chrome 77.0.3865.90,,,2019-09-21 12:28:20,2019-09-21 12:28:25,5.370s,PASSED
"click(findTestObject(""Object Repository/CompareFunctionality/ComparePopUp""))",Chrome 77.0.3865.90,,,2019-09-21 12:28:25,2019-09-21 12:28:27,1.537s,PASSED
com = new pom_files.ComparePage(driver),Chrome 77.0.3865.90,,,2019-09-21 12:28:27,2019-09-21 12:28:27,0.003s,PASSED
noofElements = com.compareElementsSize(),Chrome 77.0.3865.90,,,2019-09-21 12:28:27,2019-09-21 12:28:27,0.099s,PASSED
"Assert.assertEquals(noofElements, nosOfProducts)",Chrome 77.0.3865.90,,,2019-09-21 12:28:27,2019-09-21 12:28:27,0.000s,PASSED
"for ([j = 1, j <= nosOfProducts, (j++)])",Chrome 77.0.3865.90,,,2019-09-21 12:28:27,2019-09-21 12:28:36,9.199s,PASSED
Start tear down : tearDownTestCase,Chrome 77.0.3865.90,,,2019-09-21 12:28:36,2019-09-21 12:28:39,3.003s,PASSED
,,,,,,,
Test Cases/CheckifCommonFeaturesareHidden,Chrome 77.0.3865.90,This test case is used to verify if the Hide Common features button is working appropriately or not..,,2019-09-21 12:28:39,2019-09-21 12:28:43,3.316s,PASSED
driver = getWebDriver(),Chrome 77.0.3865.90,,,2019-09-21 12:28:39,2019-09-21 12:28:39,0.000s,PASSED
"click(findTestObject(""Object Repository/CompareFunctionality/HideCommonFeaturesCheckbox""))",Chrome 77.0.3865.90,,,2019-09-21 12:28:39,2019-09-21 12:28:39,0.093s,PASSED
"style = getAttribute(findTestObject(""Object Repository/CompareFunctionality/CommonRows""), ""style"")",Chrome 77.0.3865.90,,,2019-09-21 12:28:39,2019-09-21 12:28:40,0.074s,PASSED
println(style),Chrome 77.0.3865.90,,,2019-09-21 12:28:40,2019-09-21 12:28:40,0.000s,PASSED
flag = true,Chrome 77.0.3865.90,,,2019-09-21 12:28:40,2019-09-21 12:28:40,0.001s,PASSED
"Assert.assertEquals(flag, !(style.isEmpty()))",Chrome 77.0.3865.90,,,2019-09-21 12:28:40,2019-09-21 12:28:40,0.001s,PASSED
Start tear down : tearDownTestCase,Chrome 77.0.3865.90,,,2019-09-21 12:28:40,2019-09-21 12:28:43,3.002s,PASSED
,,,,,,,
Test Cases/RemoveFeatureofCompareProducts,Chrome 77.0.3865.90,Verifying the Remove feature which is associated with  the Compare Functionality,,2019-09-21 12:28:43,2019-09-21 12:28:57,14.136s,PASSED
driver = getWebDriver(),Chrome 77.0.3865.90,,,2019-09-21 12:28:43,2019-09-21 12:28:43,0.000s,PASSED
Thread.sleep(3000),Chrome 77.0.3865.90,,,2019-09-21 12:28:43,2019-09-21 12:28:46,3.001s,PASSED
"click(findTestObject(""Object Repository/CompareFunctionality/i_Get This Product_fa fa-times""))",Chrome 77.0.3865.90,,,2019-09-21 12:28:46,2019-09-21 12:28:46,0.131s,PASSED
Thread.sleep(3000),Chrome 77.0.3865.90,,,2019-09-21 12:28:46,2019-09-21 12:28:49,3.001s,PASSED
"confirmMessage = getText(findTestObject(""Object Repository/CompareFunctionality/CompareWarningpPopup""))",Chrome 77.0.3865.90,,,2019-09-21 12:28:49,2019-09-21 12:28:49,0.072s,PASSED
"click(findTestObject(""Object Repository/CompareFunctionality/span_OK""))",Chrome 77.0.3865.90,,,2019-09-21 12:28:49,2019-09-21 12:28:50,1.552s,PASSED
Assert.assertNotNull(confirmMessage),Chrome 77.0.3865.90,,,2019-09-21 12:28:50,2019-09-21 12:28:50,0.001s,PASSED
(internal.GlobalVariable.nosOfProducts--),Chrome 77.0.3865.90,,,2019-09-21 12:28:50,2019-09-21 12:28:50,0.002s,PASSED
refresh(),Chrome 77.0.3865.90,,,2019-09-21 12:28:50,2019-09-21 12:28:51,0.105s,PASSED
count = Resources.nosOfProductsonComparePage(driver),Chrome 77.0.3865.90,,,2019-09-21 12:28:51,2019-09-21 12:28:52,0.979s,PASSED
"Assert.assertEquals(count, nosOfProducts)",Chrome 77.0.3865.90,,,2019-09-21 12:28:52,2019-09-21 12:28:52,0.000s,PASSED
Resources.movingToSmartphonesPage(),Chrome 77.0.3865.90,,,2019-09-21 12:28:52,2019-09-21 12:28:53,1.809s,PASSED
"productCount = callTestCase(findTestCase(""Test Cases/VerifyComparePopUpCount""), null)",Chrome 77.0.3865.90,,,2019-09-21 12:28:53,2019-09-21 12:28:54,0.323s,PASSED
"Assert.assertEquals(Integer.parseInt(productCount), nosOfProducts)",Chrome 77.0.3865.90,,,2019-09-21 12:28:54,2019-09-21 12:28:54,0.000s,PASSED
Start tear down : tearDownTestCase,Chrome 77.0.3865.90,,,2019-09-21 12:28:54,2019-09-21 12:28:57,3.003s,PASSED
,,,,,,,
Test Cases/VerifyMainCategoryNames,Chrome 77.0.3865.90,Here we are verifying if the Category  Name present in the header pop-up panel and the one present onthe PLP page itself are equal or not.,,2019-09-21 12:28:57,2019-09-21 12:29:56,59.807s,PASSED
"mouseOver(findTestObject(""Object Repository/PLPpage/PLP_Title""))",Chrome 77.0.3865.90,,,2019-09-21 12:28:57,2019-09-21 12:28:57,0.176s,PASSED
categoryNames = new java.util.ArrayList(),Chrome 77.0.3865.90,,,2019-09-21 12:28:57,2019-09-21 12:28:57,0.001s,PASSED
driver = getWebDriver(),Chrome 77.0.3865.90,,,2019-09-21 12:28:57,2019-09-21 12:28:57,0.001s,PASSED
"size = xpath(""//div[@class='a_deskcatagory']/ul/li"")).size()",Chrome 77.0.3865.90,,,2019-09-21 12:28:57,2019-09-21 12:28:57,0.045s,PASSED
"for ([i = 1, i <= size, (i++)])",Chrome 77.0.3865.90,,,2019-09-21 12:28:57,2019-09-21 12:29:53,56.444s,PASSED
Start tear down : tearDownTestCase,Chrome 77.0.3865.90,,,2019-09-21 12:29:53,2019-09-21 12:29:56,3.002s,PASSED
,,,,,,,
Test Cases/AddingProductsfromComparePage,Chrome 77.0.3865.90,This test case is used to verify if the product is getting added from Compare Page itself or not.,,2019-09-21 12:29:56,2019-09-21 12:30:08,11.883s,PASSED
productFirstName = String.valueOf(get(1).charAt(0)),Chrome 77.0.3865.90,,,2019-09-21 12:29:57,2019-09-21 12:29:57,0.001s,PASSED
println(productFirstName),Chrome 77.0.3865.90,,,2019-09-21 12:29:57,2019-09-21 12:29:57,0.001s,PASSED
"setText(findTestObject(""Object Repository/CompareFunctionality/input_Select another product_selectpro""), productFirstName)",Chrome 77.0.3865.90,,,2019-09-21 12:29:57,2019-09-21 12:29:57,0.122s,PASSED
"click(findTestObject(""Object Repository/CompareFunctionality/li_LG G4 32 GB Brown (3 GB RAM)""))",Chrome 77.0.3865.90,,,2019-09-21 12:29:57,2019-09-21 12:29:57,0.657s,PASSED
"click(findTestObject(""Object Repository/CompareFunctionality/a_Add Product""))",Chrome 77.0.3865.90,,,2019-09-21 12:29:57,2019-09-21 12:29:58,0.087s,PASSED
Resources.incrementnoOfProducts(),Chrome 77.0.3865.90,,,2019-09-21 12:29:58,2019-09-21 12:29:58,0.001s,PASSED
Thread.sleep(3000),Chrome 77.0.3865.90,,,2019-09-21 12:29:58,2019-09-21 12:30:01,3.000s,PASSED
Resources.movingToSmartphonesPage(),Chrome 77.0.3865.90,,,2019-09-21 12:30:01,2019-09-21 12:30:02,1.676s,PASSED
Thread.sleep(3000),Chrome 77.0.3865.90,,,2019-09-21 12:30:02,2019-09-21 12:30:05,3.000s,PASSED
"text = callTestCase(findTestCase(""Test Cases/VerifyComparePopUpCount""), null)",Chrome 77.0.3865.90,,,2019-09-21 12:30:05,2019-09-21 12:30:05,0.163s,PASSED
"Assert.assertEquals(Integer.parseInt(text), nosOfProducts)",Chrome 77.0.3865.90,,,2019-09-21 12:30:05,2019-09-21 12:30:05,0.000s,PASSED
Start tear down : tearDownTestCase,Chrome 77.0.3865.90,,,2019-09-21 12:30:05,2019-09-21 12:30:08,3.003s,PASSED
,,,,,,,
Test Cases/RemovingAllTheProductsFromComparePopup,Chrome 77.0.3865.90,After removing the Product from the Compare Page and Moving to the Mobiles and Electronics Section we can again add a Product from the Compare Page and tha verify the Product Count.,,2019-09-21 12:30:08,2019-09-21 12:30:19,10.993s,PASSED
"mouseOver(findTestObject(""Object Repository/CompareFunctionality/ComparePopUp""))",Chrome 77.0.3865.90,,,2019-09-21 12:30:09,2019-09-21 12:30:09,0.157s,PASSED
"click(findTestObject(""Object Repository/CompareFunctionality/RemoveAllLinks""))",Chrome 77.0.3865.90,,,2019-09-21 12:30:09,2019-09-21 12:30:09,0.133s,PASSED
Thread.sleep(3000),Chrome 77.0.3865.90,,,2019-09-21 12:30:09,2019-09-21 12:30:12,3.001s,PASSED
"click(findTestObject(""Object Repository/CompareFunctionality/span_OK""))",Chrome 77.0.3865.90,,,2019-09-21 12:30:12,2019-09-21 12:30:13,1.547s,PASSED
Thread.sleep(3000),Chrome 77.0.3865.90,,,2019-09-21 12:30:13,2019-09-21 12:30:16,3.000s,PASSED
Assert.assertFalse(Resources.checkifComparepopuppresent()),Chrome 77.0.3865.90,,,2019-09-21 12:30:16,2019-09-21 12:30:16,0.032s,PASSED
Start tear down : tearDownTestCase,Chrome 77.0.3865.90,,,2019-09-21 12:30:16,2019-09-21 12:30:19,3.002s,PASSED
,,,,,,,
Test Cases/FullNameSearch,Chrome 77.0.3865.90,This test case is used to verify if the product is getting searched with Full Name and than verifying the Name of the Product on the PDP page.,,2019-09-21 12:30:19,2019-09-21 12:30:26,6.610s,PASSED
"setText(findTestObject(""Object Repository/Search/SearchinputFiled""), namesofProducts.get(1))",Chrome 77.0.3865.90,,,2019-09-21 12:30:20,2019-09-21 12:30:20,0.430s,PASSED
Thread.sleep(3000),Chrome 77.0.3865.90,,,2019-09-21 12:30:20,2019-09-21 12:30:23,3.000s,PASSED
driver = getWebDriver(),Chrome 77.0.3865.90,,,2019-09-21 12:30:23,2019-09-21 12:30:23,0.001s,PASSED
list = Resources.getListofProducts(),Chrome 77.0.3865.90,,,2019-09-21 12:30:23,2019-09-21 12:30:23,0.041s,PASSED
Assert.assertNotNull(list),Chrome 77.0.3865.90,,,2019-09-21 12:30:23,2019-09-21 12:30:23,0.001s,PASSED
Start tear down : tearDownTestCase,Chrome 77.0.3865.90,,,2019-09-21 12:30:23,2019-09-21 12:30:26,3.003s,PASSED
,,,,,,,
Test Cases/VerifyNamesOftheProductsSearched,Chrome 77.0.3865.90,,,2019-09-21 12:30:26,2019-09-21 12:31:06,39.885s,PASSED
driver = getWebDriver(),Chrome 77.0.3865.90,,,2019-09-21 12:30:26,2019-09-21 12:30:26,0.001s,PASSED
size = Resources.getListofProducts(),Chrome 77.0.3865.90,,,2019-09-21 12:30:26,2019-09-21 12:30:26,0.010s,PASSED
"for ([i = 1, i <= size, (i++)])",Chrome 77.0.3865.90,,,2019-09-21 12:30:26,2019-09-21 12:31:03,36.681s,PASSED
Start tear down : tearDownTestCase,Chrome 77.0.3865.90,,,2019-09-21 12:31:03,2019-09-21 12:31:06,3.002s,PASSED
