Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Sort_Filter_ProductCount_Loadmore_Emi,Chrome 77.0.3865.90,This suite is being created just to check the Flow of Execution of Test Cases rather than each time opening the Browser.,,2019-09-23 13:11:26,2019-09-23 13:15:16,3m - 49.156s,INCOMPLETE
,,,,,,,
Test Cases/PLPproductCount,Chrome 77.0.3865.90,"In this Test Case we are verifying if the Product count initially loaded is 30. 
If the user clicks on Load More Functionality than again more 30 products should only be loaded.
Her we are even verifying the total product Count.",,2019-09-23 13:11:38,2019-09-23 13:11:49,10.680s,PASSED
i = 3,Chrome 77.0.3865.90,,,2019-09-23 13:11:38,2019-09-23 13:11:38,0.002s,PASSED
Resources.selectCity(),Chrome 77.0.3865.90,,,2019-09-23 13:11:38,2019-09-23 13:11:41,2.744s,PASSED
Thread.sleep(2000),Chrome 77.0.3865.90,,,2019-09-23 13:11:41,2019-09-23 13:11:43,2.005s,PASSED
Resources.movingToSmartphonesPage(),Chrome 77.0.3865.90,,,2019-09-23 13:11:43,2019-09-23 13:11:45,1.696s,PASSED
Assert.assertFalse(Resources.checkifComparepopuppresent()),Chrome 77.0.3865.90,,,2019-09-23 13:11:45,2019-09-23 13:11:45,0.207s,PASSED
incrementCount = 0,Chrome 77.0.3865.90,,,2019-09-23 13:11:45,2019-09-23 13:11:45,0.001s,PASSED
count = new plp.CountProducts(),Chrome 77.0.3865.90,,,2019-09-23 13:11:45,2019-09-23 13:11:45,0.003s,PASSED
totalProductCount = Resources.getTotalCount(),Chrome 77.0.3865.90,,,2019-09-23 13:11:45,2019-09-23 13:11:45,0.175s,PASSED
"total = Resources.verifyLoadCount(i, totalProductCount, count)",Chrome 77.0.3865.90,,,2019-09-23 13:11:45,2019-09-23 13:11:46,0.628s,PASSED
"Assert.assertEquals(total, totalProductCount)",Chrome 77.0.3865.90,,,2019-09-23 13:11:46,2019-09-23 13:11:46,0.001s,PASSED
Start tear down : tearDownTestCase,Chrome 77.0.3865.90,,,2019-09-23 13:11:46,2019-09-23 13:11:49,3.002s,PASSED
,,,,,,,
Test Cases/SortLowertoHigherCheck,Chrome 77.0.3865.90,"Chceking the two EMI options order.
i.e Low to High 
and High to Low.",,2019-09-23 13:11:49,2019-09-23 13:11:54,4.728s,PASSED
i = 3,Chrome 77.0.3865.90,,,2019-09-23 13:11:49,2019-09-23 13:11:49,0.005s,PASSED
driver = getWebDriver(),Chrome 77.0.3865.90,,,2019-09-23 13:11:49,2019-09-23 13:11:49,0.000s,PASSED
"mouseOver(findTestObject(""Object Repository/PLPpage/PLP_Title""))",Chrome 77.0.3865.90,,,2019-09-23 13:11:49,2019-09-23 13:11:49,0.215s,PASSED
totalProducts = Resources.getTotalCount(),Chrome 77.0.3865.90,,,2019-09-23 13:11:49,2019-09-23 13:11:49,0.069s,PASSED
emiPrice = new java.util.ArrayList(),Chrome 77.0.3865.90,,,2019-09-23 13:11:49,2019-09-23 13:11:49,0.000s,PASSED
"emiPrice.addAll(Resources.getallEMIValues(i, totalProducts))",Chrome 77.0.3865.90,,,2019-09-23 13:11:49,2019-09-23 13:11:51,1.259s,PASSED
println(emiPrice),Chrome 77.0.3865.90,,,2019-09-23 13:11:51,2019-09-23 13:11:51,0.003s,PASSED
"for ([j = 0, j < emiPrice.size() - 1, (j++)])",Chrome 77.0.3865.90,,,2019-09-23 13:11:51,2019-09-23 13:11:51,0.011s,PASSED
Start tear down : tearDownTestCase,Chrome 77.0.3865.90,,,2019-09-23 13:11:51,2019-09-23 13:11:54,3.002s,PASSED
,,,,,,,
Test Cases/SortHighertoLowerCheck,Chrome 77.0.3865.90,This test case is used to check if the sort is working appropriately..if the filter selected is Highr to Lower,,2019-09-23 13:11:54,2019-09-23 13:12:06,12.858s,PASSED
i = 3,Chrome 77.0.3865.90,,,2019-09-23 13:11:54,2019-09-23 13:11:54,0.001s,PASSED
"mouseOver(findTestObject(""Object Repository/PLPpage/PLP_Title""))",Chrome 77.0.3865.90,,,2019-09-23 13:11:54,2019-09-23 13:11:54,0.180s,PASSED
"waitForElementNotPresent(findTestObject(""Object Repository/PLPpage/EMIHightoLow""), 5)",Chrome 77.0.3865.90,,,2019-09-23 13:11:54,2019-09-23 13:11:59,5.355s,PASSED
