Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Sort_Filter_ProductCount_Loadmore_Emi,Chrome 77.0.3865.90,This suite is being created just to check the Flow of Execution of Test Cases rather than each time opening the Browser.,,2019-09-21 12:31:53,2019-09-21 12:35:30,3m - 37.034s,INCOMPLETE
,,,,,,,
Test Cases/PLPproductCount,Chrome 77.0.3865.90,"In this Test Case we are verifying if the Product count initially loaded is 30. 
If the user clicks on Load More Functionality than again more 30 products should only be loaded.
Her we are even verifying the total product Count.",,2019-09-21 12:32:02,2019-09-21 12:32:12,9.705s,PASSED
i = 3,Chrome 77.0.3865.90,,,2019-09-21 12:32:02,2019-09-21 12:32:02,0.001s,PASSED
Resources.selectCity(),Chrome 77.0.3865.90,,,2019-09-21 12:32:02,2019-09-21 12:32:05,2.165s,PASSED
Thread.sleep(2000),Chrome 77.0.3865.90,,,2019-09-21 12:32:05,2019-09-21 12:32:07,2.005s,PASSED
Resources.movingToSmartphonesPage(),Chrome 77.0.3865.90,,,2019-09-21 12:32:07,2019-09-21 12:32:08,1.541s,PASSED
Assert.assertFalse(Resources.checkifComparepopuppresent()),Chrome 77.0.3865.90,,,2019-09-21 12:32:08,2019-09-21 12:32:08,0.158s,PASSED
incrementCount = 0,Chrome 77.0.3865.90,,,2019-09-21 12:32:08,2019-09-21 12:32:08,0.000s,PASSED
count = new plp.CountProducts(),Chrome 77.0.3865.90,,,2019-09-21 12:32:08,2019-09-21 12:32:08,0.003s,PASSED
totalProductCount = Resources.getTotalCount(),Chrome 77.0.3865.90,,,2019-09-21 12:32:08,2019-09-21 12:32:08,0.115s,PASSED
"total = Resources.verifyLoadCount(i, totalProductCount, count)",Chrome 77.0.3865.90,,,2019-09-21 12:32:08,2019-09-21 12:32:09,0.504s,PASSED
"Assert.assertEquals(total, totalProductCount)",Chrome 77.0.3865.90,,,2019-09-21 12:32:09,2019-09-21 12:32:09,0.000s,PASSED
Start tear down : tearDownTestCase,Chrome 77.0.3865.90,,,2019-09-21 12:32:09,2019-09-21 12:32:12,3.003s,PASSED
,,,,,,,
Test Cases/SortLowertoHigherCheck,Chrome 77.0.3865.90,"Chceking the two EMI options order.
i.e Low to High 
and High to Low.",,2019-09-21 12:32:12,2019-09-21 12:32:16,4.473s,PASSED
i = 3,Chrome 77.0.3865.90,,,2019-09-21 12:32:12,2019-09-21 12:32:12,0.001s,PASSED
driver = getWebDriver(),Chrome 77.0.3865.90,,,2019-09-21 12:32:12,2019-09-21 12:32:12,0.001s,PASSED
"mouseOver(findTestObject(""Object Repository/PLPpage/PLP_Title""))",Chrome 77.0.3865.90,,,2019-09-21 12:32:12,2019-09-21 12:32:12,0.187s,PASSED
totalProducts = Resources.getTotalCount(),Chrome 77.0.3865.90,,,2019-09-21 12:32:12,2019-09-21 12:32:12,0.068s,PASSED
emiPrice = new java.util.ArrayList(),Chrome 77.0.3865.90,,,2019-09-21 12:32:12,2019-09-21 12:32:12,0.000s,PASSED
"emiPrice.addAll(Resources.getallEMIValues(i, totalProducts))",Chrome 77.0.3865.90,,,2019-09-21 12:32:12,2019-09-21 12:32:13,1.054s,PASSED
println(emiPrice),Chrome 77.0.3865.90,,,2019-09-21 12:32:13,2019-09-21 12:32:13,0.002s,PASSED
"for ([j = 0, j < emiPrice.size() - 1, (j++)])",Chrome 77.0.3865.90,,,2019-09-21 12:32:13,2019-09-21 12:32:13,0.007s,PASSED
Start tear down : tearDownTestCase,Chrome 77.0.3865.90,,,2019-09-21 12:32:13,2019-09-21 12:32:16,3.002s,PASSED
,,,,,,,
Test Cases/SortHighertoLowerCheck,Chrome 77.0.3865.90,This test case is used to check if the sort is working appropriately..if the filter selected is Highr to Lower,,2019-09-21 12:32:16,2019-09-21 12:32:29,12.412s,PASSED
i = 3,Chrome 77.0.3865.90,,,2019-09-21 12:32:17,2019-09-21 12:32:17,0.000s,PASSED
