Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Sort_Filter_ProductCount_Loadmore_Emi,Chrome 77.0.3865.90,This suite is being created just to check the Flow of Execution of Test Cases rather than each time opening the Browser.,,2019-09-21 14:13:18,2019-09-21 14:17:03,3m - 45.693s,INCOMPLETE
,,,,,,,
Test Cases/PLPproductCount,Chrome 77.0.3865.90,"In this Test Case we are verifying if the Product count initially loaded is 30. 
If the user clicks on Load More Functionality than again more 30 products should only be loaded.
Her we are even verifying the total product Count.",,2019-09-21 14:13:26,2019-09-21 14:13:36,10.129s,PASSED
i = 3,Chrome 77.0.3865.90,,,2019-09-21 14:13:26,2019-09-21 14:13:26,0.002s,PASSED
Resources.selectCity(),Chrome 77.0.3865.90,,,2019-09-21 14:13:26,2019-09-21 14:13:29,2.438s,PASSED
Thread.sleep(2000),Chrome 77.0.3865.90,,,2019-09-21 14:13:29,2019-09-21 14:13:31,2.005s,PASSED
Resources.movingToSmartphonesPage(),Chrome 77.0.3865.90,,,2019-09-21 14:13:31,2019-09-21 14:13:32,1.622s,PASSED
Assert.assertFalse(Resources.checkifComparepopuppresent()),Chrome 77.0.3865.90,,,2019-09-21 14:13:32,2019-09-21 14:13:33,0.179s,PASSED
incrementCount = 0,Chrome 77.0.3865.90,,,2019-09-21 14:13:33,2019-09-21 14:13:33,0.001s,PASSED
count = new plp.CountProducts(),Chrome 77.0.3865.90,,,2019-09-21 14:13:33,2019-09-21 14:13:33,0.003s,PASSED
totalProductCount = Resources.getTotalCount(),Chrome 77.0.3865.90,,,2019-09-21 14:13:33,2019-09-21 14:13:33,0.138s,PASSED
"total = Resources.verifyLoadCount(i, totalProductCount, count)",Chrome 77.0.3865.90,,,2019-09-21 14:13:33,2019-09-21 14:13:33,0.545s,PASSED
"Assert.assertEquals(total, totalProductCount)",Chrome 77.0.3865.90,,,2019-09-21 14:13:33,2019-09-21 14:13:33,0.001s,PASSED
Start tear down : tearDownTestCase,Chrome 77.0.3865.90,,,2019-09-21 14:13:33,2019-09-21 14:13:36,3.003s,PASSED
,,,,,,,
Test Cases/SortLowertoHigherCheck,Chrome 77.0.3865.90,"Chceking the two EMI options order.
i.e Low to High 
and High to Low.",,2019-09-21 14:13:36,2019-09-21 14:13:41,4.578s,PASSED
i = 3,Chrome 77.0.3865.90,,,2019-09-21 14:13:36,2019-09-21 14:13:36,0.001s,PASSED
driver = getWebDriver(),Chrome 77.0.3865.90,,,2019-09-21 14:13:36,2019-09-21 14:13:36,0.001s,PASSED
"mouseOver(findTestObject(""Object Repository/PLPpage/PLP_Title""))",Chrome 77.0.3865.90,,,2019-09-21 14:13:36,2019-09-21 14:13:37,0.175s,PASSED
totalProducts = Resources.getTotalCount(),Chrome 77.0.3865.90,,,2019-09-21 14:13:37,2019-09-21 14:13:37,0.063s,PASSED
emiPrice = new java.util.ArrayList(),Chrome 77.0.3865.90,,,2019-09-21 14:13:37,2019-09-21 14:13:37,0.000s,PASSED
"emiPrice.addAll(Resources.getallEMIValues(i, totalProducts))",Chrome 77.0.3865.90,,,2019-09-21 14:13:37,2019-09-21 14:13:38,1.172s,PASSED
println(emiPrice),Chrome 77.0.3865.90,,,2019-09-21 14:13:38,2019-09-21 14:13:38,0.003s,PASSED
"for ([j = 0, j < emiPrice.size() - 1, (j++)])",Chrome 77.0.3865.90,,,2019-09-21 14:13:38,2019-09-21 14:13:38,0.009s,PASSED
Start tear down : tearDownTestCase,Chrome 77.0.3865.90,,,2019-09-21 14:13:38,2019-09-21 14:13:41,3.003s,PASSED
,,,,,,,
Test Cases/SortHighertoLowerCheck,Chrome 77.0.3865.90,This test case is used to check if the sort is working appropriately..if the filter selected is Highr to Lower,,2019-09-21 14:13:41,2019-09-21 14:13:53,12.287s,PASSED
i = 3,Chrome 77.0.3865.90,,,2019-09-21 14:13:41,2019-09-21 14:13:41,0.001s,PASSED
"mouseOver(findTestObject(""Object Repository/PLPpage/PLP_Title""))",Chrome 77.0.3865.90,,,2019-09-21 14:13:41,2019-09-21 14:13:41,0.156s,PASSED
"waitForElementNotPresent(findTestObject(""Object Repository/PLPpage/EMIHightoLow""), 5)",Chrome 77.0.3865.90,,,2019-09-21 14:13:41,2019-09-21 14:13:46,5.329s,PASSED
"click(findTestObject(""Object Repository/PLPpage/EMIHightoLow""))",Chrome 77.0.3865.90,,,2019-09-21 14:13:46,2019-09-21 14:13:47,0.113s,PASSED
Thread.sleep(2000),Chrome 77.0.3865.90,,,2019-09-21 14:13:47,2019-09-21 14:13:49,2.001s,PASSED
count = new plp.CountProducts(),Chrome 77.0.3865.90,,,2019-09-21 14:13:49,2019-09-21 14:13:49,0.003s,PASSED
totalProductCount = Resources.getTotalCount(),Chrome 77.0.3865.90,,,2019-09-21 14:13:49,2019-09-21 14:13:49,0.084s,PASSED
"flag = Resources.verifyLoadCount(i, totalProductCount, count)",Chrome 77.0.3865.90,,,2019-09-21 14:13:49,2019-09-21 14:13:49,0.367s,PASSED
emi = new java.util.ArrayList(),Chrome 77.0.3865.90,,,2019-09-21 14:13:49,2019-09-21 14:13:49,0.001s,PASSED
"emi.addAll(Resources.getallEMIValues(i, Resources.getTotalCount()))",Chrome 77.0.3865.90,,,2019-09-21 14:13:49,2019-09-21 14:13:50,1.089s,PASSED
"for ([j = 0, j < emi.size() - 1, (j++)])",Chrome 77.0.3865.90,,,2019-09-21 14:13:50,2019-09-21 14:13:50,0.010s,PASSED
Start tear down : tearDownTestCase,Chrome 77.0.3865.90,,,2019-09-21 14:13:50,2019-09-21 14:13:53,3.004s,PASSED
,,,,,,,
Test Cases/AddingproductstoCompare,Chrome 77.0.3865.90,Verifying if the nos. of products added to compare are appropriate or not.,,2019-09-21 14:13:53,2019-09-21 14:14:29,35.749s,PASSED
driver = getWebDriver(),Chrome 77.0.3865.90,,,2019-09-21 14:13:53,2019-09-21 14:13:53,0.000s,PASSED
productNames = new java.util.ArrayList(),Chrome 77.0.3865.90,,,2019-09-21 14:13:53,2019-09-21 14:13:53,0.001s,PASSED
"mouseOver(findTestObject(""Object Repository/PLPpage/PLP_Title""))",Chrome 77.0.3865.90,,,2019-09-21 14:13:53,2019-09-21 14:13:53,0.170s,PASSED
flag = false,Chrome 77.0.3865.90,,,2019-09-21 14:13:53,2019-09-21 14:13:53,0.000s,PASSED
"for ([i = 1, i <= nosOfProducts * 2, i += 2])",Chrome 77.0.3865.90,,,2019-09-21 14:13:53,2019-09-21 14:14:04,10.143s,PASSED
namesofProducts = productNames,Chrome 77.0.3865.90,,,2019-09-21 14:14:04,2019-09-21 14:14:04,0.001s,PASSED
Thread.sleep(3000),Chrome 77.0.3865.90,,,2019-09-21 14:14:04,2019-09-21 14:14:07,3.002s,PASSED
"count = callTestCase(findTestCase(""Test Cases/VerifyComparePopUpCount""), null)",Chrome 77.0.3865.90,,,2019-09-21 14:14:07,2019-09-21 14:14:07,0.296s,PASSED
"Assert.assertEquals(Integer.parseInt(count), nosOfProducts)",Chrome 77.0.3865.90,,,2019-09-21 14:14:07,2019-09-21 14:14:07,0.000s,PASSED
"callTestCase(findTestCase(""Test Cases/AddingExtraProductToCompare""), null)",Chrome 77.0.3865.90,,,2019-09-21 14:14:07,2019-09-21 14:14:10,3.354s,PASSED
"waitForElementNotPresent(findTestObject(""Object Repository/CompareFunctionality/ComparePopUp""), 5)",Chrome 77.0.3865.90,,,2019-09-21 14:14:10,2019-09-21 14:14:16,5.344s,PASSED
"click(findTestObject(""Object Repository/CompareFunctionality/ComparePopUp""))",Chrome 77.0.3865.90,,,2019-09-21 14:14:16,2019-09-21 14:14:17,1.401s,PASSED
com = new pom_files.ComparePage(driver),Chrome 77.0.3865.90,,,2019-09-21 14:14:17,2019-09-21 14:14:17,0.003s,PASSED
noofElements = com.compareElementsSize(),Chrome 77.0.3865.90,,,2019-09-21 14:14:17,2019-09-21 14:14:17,0.120s,PASSED
"Assert.assertEquals(noofElements, nosOfProducts)",Chrome 77.0.3865.90,,,2019-09-21 14:14:17,2019-09-21 14:14:17,0.000s,PASSED
"for ([j = 1, j <= nosOfProducts, (j++)])",Chrome 77.0.3865.90,,,2019-09-21 14:14:17,2019-09-21 14:14:26,8.765s,PASSED
Start tear down : tearDownTestCase,Chrome 77.0.3865.90,,,2019-09-21 14:14:26,2019-09-21 14:14:29,3.003s,PASSED
,,,,,,,
Test Cases/CheckifCommonFeaturesareHidden,Chrome 77.0.3865.90,This test case is used to verify if the Hide Common features button is working appropriately or not..,,2019-09-21 14:14:29,2019-09-21 14:14:32,3.306s,PASSED
driver = getWebDriver(),Chrome 77.0.3865.90,,,2019-09-21 14:14:29,2019-09-21 14:14:29,0.001s,PASSED
